"id","book","source_file","source_chapter","wisdom_title","wisdom_text","theme_tags"
"BBS001","《波波颂》","《波波颂》自序.txt","自序","作品靠整体水准，不靠入选光环","真正有底气的创作，不必把价值押在少数被挑中的篇章上。若长期写作都有稳定水准，选本只是入口，不是镀金；做人做事也一样，最可靠的名片不是偶尔一两次漂亮表现，而是整体质量经得起抽查。","写作;自信;整体质量"
"BBS002","《波波颂》","001.对自然要自然.txt","对自然要自然","别把自己的感伤塞给自然","自然并不替人哭笑，风雨枯荣也不是专为个人情绪布置的舞台。看世界要学会把自己的小哀乐放回适当位置；少一点投射，多一点开阔，人才不会把短暂情绪误认为宇宙真相。","自然观;情绪;清醒"
"BBS003","《波波颂》","002.与阳光有约.txt","与阳光有约","困境里也要保留感受力","人在封闭和匮乏中，最容易把心也关死。能从一束阳光里重新感到时间、空间和宇宙尺度，说明困境还没有夺走人的内在自由；感受力不是软弱，而是人在硬处境里保住尊严的细根。","困境;感受力;内在自由"
"BBS004","《波波颂》","003.时不我与，我不与时.txt","时不我与，我不与时","时间变慢时学会大尺度生活","当分钟、钟点和日程都失去意义，人就不能再用平常的焦虑方式生活。被迫面对漫长时，要把自己从分秒得失里拔出来，用月和年衡量忍耐、修养和等待；大尺度有时是困境教出的本领。","时间观;困境;忍耐"
"BBS005","《波波颂》","004.用冰冷表现洁白.txt","用冰冷表现洁白","不要用热闹表情审判真情","有些真情并不表现为痛哭、拥抱和热烈言辞，反而可能显得冷静、克制，甚至不合俗套。判断一个人的情义，不能只看表情温度，更要看内里是否清白、可靠、经得起时间。","情感;克制;识人"
"BBS006","《波波颂》","005.朋友的没落.txt","朋友的没落","朋友宁缺毋滥","朋友本该使生命更高更宽，若只是消耗时间、制造牵累、把低水平的私情包装成义气，反而会成为负担。成熟的人不怕朋友少，怕的是把人生交给不值得的关系拖低。","友谊;关系;自持"
"BBS007","《波波颂》","005.朋友的没落.txt","朋友的没落","友谊要靠人格和共同大事","旧相识、热闹往来和私人好处，都不足以支撑真正友谊。能长久同行的关系，必须有相近的人格底线，也最好有共同关心的大事；否则越亲密，越可能只是在彼此纵容。","友谊;人格;共同目标"
"BBS008","《波波颂》","006.活在湿度计里.txt","活在湿度计里","把困境改造成观察现场","环境若无法立刻改变，仍可以改变自己和环境相处的方式。把潮湿墙面看成一只奇异的仪器，把受困处境变成观察对象，人的心就不完全归困境支配。","困境;观察;心境"
"BBS009","《波波颂》","008.论坐牢的好处.txt","论坐牢的好处","剥夺会暴露依赖的真相","人平常以为离不开时间表、空间、朋友、对手和各种牵挂，真正被剥夺时，才看见哪些是生命所需，哪些只是生活习惯。极端处境的残酷之一，是它也会把依赖逐项拆开给你看。","困境;依赖;自我认识"
"BBS010","《波波颂》","009.“显性伪君子”和“隐性伪君子”.txt","“显性伪君子”和“隐性伪君子”","伪君子比真小人多一层欺骗","坏本身已经可厌，坏而假装成善更可厌，因为它把道德也拿来当掩护。识人不能只看对方口中的善意和姿态，还要看他是否用好话遮住坏事、用美名包装私利。","识人;伪善;道德"
"BBS011","《波波颂》","009.“显性伪君子”和“隐性伪君子”.txt","“显性伪君子”和“隐性伪君子”","风凉话最容易伪装成正义","站在安全处批评受苦的人，常显得理直气壮，实则只是把自己的无风险位置伪装成道德高度。真正的判断要先看说话者承担了什么代价；没有代价的高论，最该小心。","伪善;批评;代价"
"BBS012","《波波颂》","009.“显性伪君子”和“隐性伪君子”.txt","“显性伪君子”和“隐性伪君子”","拉上窗帘不是仁慈","不看见别人的苦，并不会让苦消失，只会让自己继续舒服。很多伪善不是公开作恶，而是主动隔绝现实，好让良心不必被打扰；一个人越会装作没看见，越要问他在回避什么。","同情;逃避;伪善"
"BBS013","《波波颂》","009.“显性伪君子”和“隐性伪君子”.txt","“显性伪君子”和“隐性伪君子”","美德造型不能代替美德本身","节俭、慈悲、清高、公益，都可能被做成供人观看的造型。真正的美德要落实到选择和代价上，不能只看衣着、口号和公共姿态；道德若只是造型，越漂亮越危险。","美德;形象;伪善"
"BBS014","《波波颂》","010.“三毛式伪善”和“金庸式伪善”.txt","“三毛式伪善”和“金庸式伪善”","远方慈善不能遮住近处责任","关心远方受苦的人当然可贵，但若借远方悲悯逃开身边的不义，就成了漂亮的转移。善意要经得起远近两端的检验；能看见异乡苦难，也该看见门口的人。","慈善;责任;伪善"
"BBS015","《波波颂》","010.“三毛式伪善”和“金庸式伪善”.txt","“三毛式伪善”和“金庸式伪善”","选择性信仰只是自利","只挑对自己有利的教义、原则和价值来相信，表面像有信念，实则只是把信念当工具。真正的信仰和原则，恰恰要在不方便、不讨好、不赚钱时仍然约束自己。","信念;原则;自利"
"BBS016","《波波颂》","013.人到底该怎么选择？.txt","人到底该怎么选择？","有些危险不能因为危险就避开","趋利避害是常情，但人生并不只由安全计算构成。若是非、尊严和信念都在危险处，退一步也许保住身体，却丢掉了更重要的自己；选择要问风险，也要问价值。","选择;勇气;价值"
"BBS017","《波波颂》","013.人到底该怎么选择？.txt","人到底该怎么选择？","别只劝受压者收声","看见有人因直言受难，旁观者常劝他说话小心，却少劝施压者停止作恶。这样的劝告看似现实，实则把责任悄悄推给受害的一方；真正讲理，要把压力源也摆上桌。","正义;责任;直言"
"BBS018","《波波颂》","014.爱丽丝与新党.txt","爱丽丝与新党","别把改变寄托在拖延者的支票上","既得利益者最擅长开出遥远承诺，让人把今日行动押到未来兑现。判断改革诺言，不只听它说什么，更要看说话者是否从拖延中获利；若拖延本身就是利益，支票多半不会兑现。","改变;拖延;判断"
"BBS019","《波波颂》","015.索尔仁尼琴错在哪儿？.txt","索尔仁尼琴错在哪儿？","崇拜以前先读全材料","对名人的失望，常来自自己原先了解得太少。若一个人的作品、言论和立场早有痕迹，就不该等到偶像破裂才惊呼意外；少一点神化，多一点阅读，判断会稳得多。","阅读;判断;去神化"
