id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
DJDHPNL001,大江大海骗了你,001.缘起.txt,001.缘起,大书之外也要捡遗珠,书中自称在大书之外拾自己的遗，提醒人不要只看一个人的宏大作品，也要看间隙、边角和不经意处。人生里真正认识一个人，不只看他正式宣布的主张，也要看他零碎时刻里露出的习惯、趣味和底色。,识人;细节;观察
DJDHPNL002,大江大海骗了你,002.从“拾穗”到“拿锄头的人”.txt,002.从“拾穗”到“拿锄头的人”,秘密只是你还没听见的事,书中把秘密定义得很宽，凡是你没听到的事都可能是秘密，关键在能不能用秘密的耳朵去听。人生里知识的边界常被自以为知道挡住；学会听见被忽略的声音，才会发现世界比公开叙事更复杂。,倾听;求知;开放
DJDHPNL003,大江大海骗了你,003.龙应台提议与我拥抱.txt,003.龙应台提议与我拥抱,有能力拆穿就有责任出手,书中说自己本想写大书，却因觉得有本领彻底拆穿而责无旁贷。人生里有些事虽小，却正在误导许多人；当你确有能力澄清时，投入时间未必是浪费，而是对公共判断的负责。,责任;行动;辨伪
DJDHPNL004,大江大海骗了你,004.知我者，其唯老太太乎？.txt,004.知我者，其唯老太太乎？,第一颗扣子错，后面全会错,书中用第一颗扣子扣错来形容虚拟演绎的根本错误。人生判断中，最怕大前提一开始就错，后面越勤奋越精密，只是把错误推得更远；动手之前先校准前提，比事后补救更重要。,前提;判断;方法
DJDHPNL005,大江大海骗了你,005.龙应台的不幸.txt,005.龙应台的不幸,大题目不能速成,书中批评对一九四九这种大题目想速成，既不真实，也容易闹笑话。人生里越大的问题，越需要长时间的材料、经验和方法积累；靠热情和几个故事冲上去，常常只是把浅薄写得很热闹。,耐心;基本功;大题目
DJDHPNL006,大江大海骗了你,006.“大江大海”，屁！.txt,006.“大江大海”，屁！,拆穿的是一类错误,书中说要拆穿的不只是某个人，而是一类龙应台式错误。人生里的批评若只盯着一个名字，容易变成私怨；真正有价值的批评，是从个案中看出一种可重复的思维陷阱。,批评;模式;清醒
DJDHPNL007,大江大海骗了你,007.叶公超的切肤之痛.txt,007.叶公超的切肤之痛,读档案不能只收有利一面,书中批评看蒋介石日记却避开日记中不利的一面。人生里查资料不能像挑糖果，只拿支持自己印象的部分；越是权威档案，越要问它隐藏了谁、伤害了谁、又替谁开脱。,档案;证据;完整
DJDHPNL008,大江大海骗了你,009.文化混蛋.txt,009.文化混蛋,私谊与公论要分开,书中谈到与钱穆有私谊，却仍要在公论上批评其文化和政治问题。人生里成熟的判断不是忘恩负义，也不是因情废义；一个人对你好，不代表他的公共立场就免于检验。,公私;公论;独立
DJDHPNL009,大江大海骗了你,010.龙应台怎样吃人肉？.txt,010.龙应台怎样吃人肉？,名声不能挡住出土证据,书中以出土竹简推翻大牌学者旧说，提醒声望不等于正确。人生里别人已经成名，并不表示他的判断永远站得住；新证据出现时，真正尊重知识的人要敢让名声退后。,证据;名声;修正
DJDHPNL010,大江大海骗了你,011.龙应台不懂老蒋日记.txt,011.龙应台不懂老蒋日记,白纸黑字也可能演给后人看,书中指出档案文字有时不是事实本身，而是写给后人看的姿态。人生里看见文件、日记、批示，不要立刻以为真相已经到手；有些白纸黑字，正是为了让未来读者误会谁爱国、谁误国。,档案;辨伪;警惕
DJDHPNL011,大江大海骗了你,014.蒋介石的“不立文字”骗术.txt,014.蒋介石的“不立文字”骗术,口头承诺最要警惕,书中谈到不立文字的手法，口头答应后事后认不认全凭权力者高兴。人生中重大承诺若只停在口头，最容易被强者改写；该留书面时留书面，不是小气，而是保护未来的事实。,承诺;证据;边界
DJDHPNL012,大江大海骗了你,015.档案里根本找不到.txt,015.档案里根本找不到,档案空白也是一种线索,书中说有些关键命令在档案里根本找不到，只留下含糊的奉谕照办。人生里查一件事，不只看留下了什么，也要看不该缺席的东西为什么缺席；空白有时不是无事，而是有人故意不留把柄。,档案;线索;审慎
DJDHPNL013,大江大海骗了你,016.我只花十分之一的时间.txt,016.我只花十分之一的时间,阵仗不能吓倒问题意识,书中对比一方有机构、助理和访问资源，另一方单干却能抓住关键漏洞。人生里不要被别人的阵仗吓倒，资源多当然有优势，但真正能破题的，往往是问题意识、方法和敢追到底的判断力。,问题意识;方法;独立
DJDHPNL014,大江大海骗了你,017.“龙应台式错误”.txt,017.“龙应台式错误”,只写现象会制造盲目同情,书中把只谈现象、不谈原因称为关键错误，因为它会引发同情却混淆真相。人生里讲苦难不能只让人哭，还要让人知道苦难从哪里来；没有原因的同情，常会被错误对象收割。,原因;同情;真相
DJDHPNL015,大江大海骗了你,018.张爱玲的月经棉.txt,018.张爱玲的月经棉,文笔流畅不能替代头脑清楚,书中承认文字可以流畅，却批评头脑不清。人生里不要被顺滑表达迷住，漂亮句子只能让错误更易入口；判断一个作者，最终还要看他的材料、逻辑和立场是否站得住。,文笔;逻辑;判断
DJDHPNL016,大江大海骗了你,019.龙应台的根本毛病在哪里？.txt,019.龙应台的根本毛病在哪里？,没训练别硬谈大问题,书中说谈历史问题要有史学训练，尤其不能靠名声和专栏吹捧补课。人生里越是复杂题目，越要承认训练的门槛；不懂还硬谈，错误不只是个人丢脸，还会带着读者一起误判。,训练;谦卑;历史
DJDHPNL017,大江大海骗了你,020.只会写“现象”，不会写“原因”.txt,020.只会写“现象”，不会写“原因”,销量不是思想的证明,书中以畅销不能证明读者高明为例，拆掉销量崇拜。人生里一件作品卖得多，只能说明它被许多人接受，不说明它就真；多数人的热闹常常需要少数人的冷静来校正。,流行;判断;清醒
DJDHPNL018,大江大海骗了你,020.只会写“现象”，不会写“原因”.txt,020.只会写“现象”，不会写“原因”,抽样不及格，结论不可靠,书中说对一九四九的抽样既不能通过历史学，也不能通过统计学。人生里用几个故事代表整体时，最要小心抽样；样本若偏、少、假，结论越动人越危险。,抽样;方法;证据
DJDHPNL019,大江大海骗了你,021.龙苑长春之一.txt,021.龙苑长春之一,悲剧要追问谁制造局面,书中谈长春围城，反问为什么只责围城一方，却不问谁造成孤城死守的局面。人生里看灾难，不要只盯最后一个动作，还要追问谁把人推到那个动作面前；原因链条越清楚，责任才越不容易错位。,原因;责任;灾难
DJDHPNL020,大江大海骗了你,026.东北人的苦难见证.txt,026.东北人的苦难见证,人证也要靠文献校正,书中承认亲历者见证重要，但同时不断以文献追问真相。人生里听故事要尊重当事人，却不能让单一记忆包办历史；人证给血肉，文献给坐标，两者相互校正才稳。,人证;文献;校正
DJDHPNL021,大江大海骗了你,027.李敖的爸爸.txt,027.李敖的爸爸,访问对象需要眼光,书中说选出访问对象也要眼光，很多关键故事并不会自己走到门前。人生里做调查，问谁和问什么同样重要；访问错对象，再勤奋也只会得到低处或偏处的片段。,访问;眼光;方法
DJDHPNL022,大江大海骗了你,029.可以这样“二二八”吗？.txt,029.可以这样“二二八”吗？,血泪切片不能替代全景,书中批评只点出血淋淋的一段，却不写事件的双向暴力和复杂背景。人生里用苦难叙事最要谨慎，切片能激起情绪，却不能替代全景；只让读者看到一边的血，会把同情变成仇恨。,叙事;全景;克制
DJDHPNL023,大江大海骗了你,040.龙应台只见一彭.txt,040.龙应台只见一彭,弱者受苦也仍需反省,书中提醒，受苦的一方也不能因此免于反省自己的暴行和失误。人生里苦难可以要求别人同情，却不能自动证明自己每一步都对；真正的成熟，是在受伤之后仍敢检查自己的部分责任。,反省;苦难;公正
DJDHPNL024,大江大海骗了你,041.龙应台的爸爸杀台湾人？.txt,041.龙应台的爸爸杀台湾人？,菁英责任是拦住自己人,书中借林献堂的例子说明，真正菁英要在狂澜当前劝住自己人。人生里最有价值的勇气，常不是骂敌人，而是拦住己方的失控；能对自己阵营说不，才配谈公共责任。,菁英;责任;勇气
DJDHPNL025,大江大海骗了你,042.美国人害了台湾人.txt,042.美国人害了台湾人,把强权当靠山的人常先被出卖,书中谈到台湾人信美国人，最后美国高层并无兴趣介入。人生里弱者向强权求助时，最该看清强权的算盘；别把对方的临时利用误会成永恒保护。,强权;依赖;清醒
DJDHPNL026,大江大海骗了你,044.龙局长乱投机.txt,044.龙局长乱投机,文化投机会把投靠包装成文明,书中批评把投靠侵略者的人包装成文化人物。人生里文化名义很容易被拿来洗白立场，越是讲文明、高风亮节，越要看他在权力转换时站到了哪里。,文化;投机;立场
DJDHPNL027,大江大海骗了你,046.马英九打电话来.txt,046.马英九打电话来,职位行为不能与政治切开,书中批评以文化、人道为名去接触政治性很强的人物，不能假装无关政治。人生里一个人的职位会改变行动意义；站在公位上说只谈文化，常常是在逃避行动的公共后果。,职位;政治;责任
DJDHPNL028,大江大海骗了你,049.龙应台不写美国大兵在强奸.txt,049.龙应台不写美国大兵在强奸,选择性义愤会暴露立场,书中质问为什么写俄国大兵暴行，却不写美国大兵暴行。人生里义愤若只对某些对象有效，就不是原则，而是偏好；真正的正义感，要能批判自己喜欢或依赖的力量。,义愤;选择性;立场
DJDHPNL029,大江大海骗了你,053.龙应台不是亲美派吗？.txt,053.龙应台不是亲美派吗？,强权承诺要查退票记录,书中列举美国严重关切却未行动的案例，逼问承诺是否可靠。人生里听强者承诺，别只听今天怎么说，要查过去怎样兑现；历史上的退票记录，比场面话更接近风险。,承诺;风险;强权
DJDHPNL030,大江大海骗了你,054.地下大使吐真言.txt,054.地下大使吐真言,外交辞令不能当答案,书中质询要求对方回答美国可能不会来，而不是绕在可能性之间。人生里面对关键问题，要警惕漂亮的模糊话；不能回答是或不是的人，往往是在保护自己，不是在保护真相。,表达;答案;清晰
DJDHPNL031,大江大海骗了你,055.我写《阳痿美国》.txt,055.我写《阳痿美国》,柔性力量也能制造迷梦,书中批评美国用柔性力量让人向往它，从而淡化其恶形恶状。人生里诱惑不总是硬压下来，更多时候是包装成电影、语言、生活方式和梦想；越舒服的影响，越需要清醒辨认。,软实力;警惕;清醒
DJDHPNL032,大江大海骗了你,056.龙应台只会访问一些小人物.txt,056.龙应台只会访问一些小人物,低层访问不能替代高层责任,书中说小人物故事重要，但真正的动态和动向常在高层决策。人生里理解一场大变局，不能只听被卷入者的痛苦，还要追到决定者的选择；否则只有眼泪，没有责任。,访问;责任;全局
DJDHPNL033,大江大海骗了你,057.小心他们在集体说谎.txt,057.小心他们在集体说谎,失败者最容易集体造神话,书中提醒一九四九的失败者会因为集体挫败而集体说谎。人生里失败带来的羞耻常会催生神话，人们宁可改写故事，也不愿承认失败原因；越是集体纪念，越要核对事实。,失败;神话;事实
DJDHPNL034,大江大海骗了你,058.所谓“太原五百完人”.txt,058.所谓“太原五百完人”,数字一膨胀，烈士就变道具,书中拆解所谓五百完人的人数灌水和名单造假。人生里数字最容易制造庄严感，也最容易遮住人；当死难者被夸成政治效果，个人生命就被拿来当道具。,数字;烈士;辨伪
DJDHPNL035,大江大海骗了你,059.说你是烈士，你就是烈士.txt,059.说你是烈士，你就是烈士,说你是烈士不等于你真是烈士,书中说活到后来的人也能被宣传成殉国烈士。人生里称号不能替代事实，别人给你的高帽也可能只是他们需要的故事；名誉越光荣，越要问它是不是建立在真相上。,名誉;真相;称号
DJDHPNL036,大江大海骗了你,060.省得了省吗？.txt,060.省得了省吗？,现实越小，越爱摆大架子,书中批评残山剩水的小局面仍维持过大的国家架构。人生里越没有实力的人，越可能靠架子撑面子；承认现实并不丢脸，丢脸的是明知变小，还用大话欺人。,现实;架子;自欺
DJDHPNL037,大江大海骗了你,062.龙应台的柏杨路线.txt,062.龙应台的柏杨路线,泛骂众人是在避开真正权力,书中批评把中国人整体拿来骂，却不敢直指真正的统治者。人生里批评若撒向所有人，常常看似勇猛，实则避开风险；敢点出具体权力，才是真批评。,批评;权力;勇气
DJDHPNL038,大江大海骗了你,065.龙应台比国民党还国民党.txt,065.龙应台比国民党还国民党,包装成不站队也可能站得更深,书中批评一些人看似不再属于某党，却替它说出更体面的道理。人生里最隐蔽的立场，往往不是挂在旗帜上，而是藏在叙事框架里；看一个人站哪边，要看他替谁开脱。,立场;叙事;识别
DJDHPNL039,大江大海骗了你,066.孔夫子在质疑啊.txt,066.孔夫子在质疑啊,反问有时比追问更锋利,书中解读孔子每事问其实是反问，用来点出礼制越界。人生里有些荒谬不必长篇论证，只要把问题反问回去，荒谬就会自己显形；好的反问，是一种有礼貌的拆穿。,反问;机锋;思辨
DJDHPNL040,大江大海骗了你,067.当头一棒，大喝一声.txt,067.当头一棒，大喝一声,无益纠缠先脱身,书中谈面对笨蛋，宁可先逃掉，不把生命耗在无效纠缠上。人生里不是每场争论都值得教育对方；有些场合越讲越暗，及时离开，是对自己时间和精神的保护。,边界;时间;选择
DJDHPNL041,大江大海骗了你,068.“中国智慧党”的反讽.txt,068.“中国智慧党”的反讽,使命行动不以成败定价值,书中谈使命政党，明知不能赢得选举，却能散播理念。人生里有些行动的意义不在马上取胜，而在留下火种、坐标和异议；只用成败衡量，会看不见使命的价值。,使命;理念;行动
DJDHPNL042,大江大海骗了你,069.龙应台是“文化苏姗大婶”.txt,069.龙应台是“文化苏姗大婶”,幽默能让困局露出荒谬,书中说面对问题不要失掉幽默感，即使荒谬主意也比一筹莫展好。人生里幽默不是逃避严肃，而是让僵硬局面露出可笑的机关；能笑出结构的人，常比只会悲愤的人清醒。,幽默;困局;智慧
DJDHPNL043,大江大海骗了你,070.吴相湘的“国民党史观”.txt,070.吴相湘的“国民党史观”,史观框架会困住勤奋一生,书中惋惜吴相湘一生勤奋，却陷在国民党史观里不能翻作自己的著作。人生里努力不必然通向真相，若框架错了，越勤奋越替框架添砖；有时最大的勇气，是晚年仍敢重写自己。,史观;勤奋;修正
DJDHPNL044,大江大海骗了你,071.张玉法那些人的心态.txt,071.张玉法那些人的心态,别把伤害者认成父亲,书中用斯德哥尔摩症候群形容受害者反过来认同迫害者。人生里长期被裹胁最可怕的后果，是把求生的妥协误认成忠诚；看清伤害者是谁，是恢复人格的第一步。,认同;伤害;觉醒
DJDHPNL045,大江大海骗了你,072.龙应台与“刺刀从军”.txt,072.龙应台与“刺刀从军”,写流亡要追谁组织了流亡,书中批评只写少年流亡的惨状，却不追谁带他们走、为什么走。人生里描述受难不能只停在路途艰辛，还要问谁安排了这条路；没有组织者和目的，苦难就会变成无主的悲情。,流亡;原因;责任
DJDHPNL046,大江大海骗了你,073.龙应台开脱蒋介石.txt,073.龙应台开脱蒋介石,执行者背后还有指令者,书中追问刺刀从军背后的上级命令，指出不能只怪现场执行者。人生里看坏事，不要被第一线的人挡住视线；执行者有责任，设计者和授权者更不能消失。,权力链;责任;追问
DJDHPNL047,大江大海骗了你,074.蒋介石是一张试纸.txt,074.蒋介石是一张试纸,核心态度是一张试纸,书中把对蒋介石的态度视为检验历史判断的试纸。人生里每个人都有几道核心题，能测出是非观、知识程度和勇气；在关键问题上含糊，其他漂亮话都要打折。,试纸;是非;人格
DJDHPNL048,大江大海骗了你,076.反蒋在争自己的人格.txt,076.反蒋在争自己的人格,反抗暴君是在争人格,书中说敢在蒋介石阴魂不散的岛上动土，是为国民争人格。人生里反抗不只是反对某个人，也是在取回被恐吓、欺骗和羞辱后的尊严；有些批判，是人格自救。,人格;反抗;尊严
