id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
HSYW001,胡适与我,《胡适与我》自序.txt,《胡适与我》自序,交游热闹不等于身后托付,李敖看胡适身后所谓朋友四散，提醒人不要把生前交游误认成真正托付。人生里，围在你身边的人未必会在关键时刻替你守住精神遗产；能接住你未竟之事的人，往往不是最会寒暄的人，而是最肯下笨功、最懂你核心价值的人。,交友;托付;身后责任
HSYW002,胡适与我,《胡适与我》自序.txt,《胡适与我》自序,真正的知己要替你把大的部分留下,李敖说自己不是胡适弟子，却比许多自称门墙之内的人更努力保存胡适“大”的一面。人生识人，不要只看名分和远近；一个人是否懂你，要看他能不能在你不在场时仍替你的关键原则辩护，而不是只消费你的名声。,知己;名分;精神传承
HSYW003,胡适与我,《胡适与我》自序.txt,《胡适与我》自序,纪念不是补热闹，而是补工作,胡适百年时，许多人忽然成了专家，李敖却更在意真实理解和实际传播是否被补上。人生纪念一个人，最怕在安全以后追加热闹；真正有分量的纪念，是把当年该整理、该澄清、该流通的工作做出来。,纪念;责任;真假
HSYW004,胡适与我,《胡适与我》自序.txt,《胡适与我》自序,晚来的赞美要接受沉默史的审问,一个人事后赞成自由、赞成大师，并不稀奇；难的是在风向不利时有没有站出来。人生看一群人的品格，不只听他们今天说什么，也要追问他们昨天沉默在哪里；沉默不是永远有罪，但沉默过的人不该轻易冒充最早的勇士。,勇气;沉默;历史判断
HSYW005,胡适与我,001.给胡适的两首寿诗.txt,001.给胡适的两首寿诗,真理要辩驳，不能怕挨骂,李敖给胡适的寿诗里，把真理和挨骂放在一起看。人生若想守住一点真东西，就不能只追求体面和掌声；讲理的人总会遇到误解、辱骂和围攻，但缩头躲过一阵骂声，也常常等于放弃了把事情讲清楚的机会。,真理;辩驳;勇气
HSYW006,胡适与我,001.给胡适的两首寿诗.txt,001.给胡适的两首寿诗,白头也可以保持少年气,李敖写胡适“白头少年”，看重的是人老而心不钝、名高而好奇不死。人生的年轻不只在年龄，而在是否还肯怀疑、学习、开玩笑和向前走；一个人若只剩资格和架子，即使年纪不大，也已经先老了。,少年气;成长;心态
HSYW007,胡适与我,001.给胡适的两首寿诗.txt,001.给胡适的两首寿诗,幽默能让敬意不变成供奉,寿诗写得俏皮，胡适回信也以打油诗相待，这种往来让敬意有了呼吸。人生尊敬别人，不必把对方供成泥像；能用幽默相见，反而说明彼此还保有活人的温度，敬意也因此不容易僵成谀词。,幽默;敬意;人际分寸
HSYW008,胡适与我,001.给胡适的两首寿诗.txt,001.给胡适的两首寿诗,替未来种树的人，不必急着乘凉,李敖写胡适种树，是赞他把眼光放在后来中国，而不只放在眼前名利。人生做长期的事，常常不会马上得到回报；但有些树若没人先种，后来的人连阴影都没有。真正的建设者，要能接受成果不完全属于自己。,长期主义;建设;未来
HSYW009,胡适与我,001.给胡适的两首寿诗.txt,001.给胡适的两首寿诗,过河时敢做卒子，也是一种开风气,诗中说胡适过河领先做卒子，点出开路者的价值不在姿态高，而在愿意先冒险。人生很多局面需要的不是稳坐中军的漂亮话，而是有人先走一步、先试一种新办法；小卒若走在关键处，也能改变全盘。,开路;行动;担当
HSYW010,胡适与我,002.三封没发表的信.txt,002.三封没发表的信,制度要求专一，就要承担供养的责任,李敖向胡适说明自己被研究机构要求不得兼职，却又迟迟领不到薪水。人生里，任何组织若要求一个人全心投入，就不能把他的生计当小事；只讲忠诚、不讲兑现，是把理想变成了对弱者的勒索。,制度;薪酬;公平
