id,book,source_file,source_chapter,source_text,wisdom_title,wisdom_text,theme_tags
LZWJ001,《李敖杂文集》,001.我的希望.txt,我的希望,今天我们所受的苦难，都是我们这个民族努力不够的当然结果。也就是说：我们今日所受的失败和耻辱，都是由于过去种种恶因种下的恶果。我们每一个人都不必替自我作辩护，要知道“人必自侮，而后人侮之”；“自侮”的成份一个不减少，怪别人为什么比你强，为什么欺负你。我们要扪心自问一下，自己是什么样的人，国家是一个什么样的国家。你自己如果是眼高手低，志大才疏，那你就没有脸去开会、通电、示威游行、贴标语、喊口号……因为这一切形式化的行动都是徒然无益的，都是期望太奢而努力不够的行动。,失败面前先停止自辩,遇到失败和耻辱，最容易的反应是替自己辩护，把责任推给环境、敌人或时代。李敖在谈“希望”时反过来提醒人：失败常常也来自自己努力不够、眼高手低、志大才疏；能先把自辩放下，承认自己尚未做够，才有重新用力的起点。,自省;失败;行动
LZWJ002,《李敖杂文集》,001.我的希望.txt,我的希望,"在这非常的时代里，开会、游行、标语、示威、喊口号……等等是救不了国家的，救国是一番艰巨而庞大的事业，需要每个国民在自己的职位上札实的努力。国家是一个有机体，每个国民如都能做到“执事者各司其事”的地步，国家自然会强盛起来。
克莱勒说：“努力去做那些最近于你们目前的事”。易卜生说：“在这世界里，就好像在大海中，最要紧的，是先救你自己”。本着这句箴言，我希望我们能够说出心坎的话，做许多实际的事，要知道除此而外，其他一切的行动都是无裨救国的空谈。时至今日如果再背着良心来“高喊”救国，这真是“自作孽，不可活”了。
因此，我们必须立下目标以奉为圭臬。
第一、我们要深信今日的失败，都是由于过去的不努力所造成的恶果。
第二、我们时时要职各人之所职，为个人之应为。必须如此，才能建造来日建国的事业。",从最近处做实际的事,宏大的口号常让人产生已经尽责的错觉，可真正能改变局面的，往往是岗位上最近、最小、最具体的事。与其高喊救国或拯救天下，不如先把自己能负责的工作做扎实；一个人能在近处做成事，远处的希望才不是空话。,实干;责任;务实
LZWJ003,《李敖杂文集》,002.狱中书信两封.txt,狱中书信两封,"屡承你寄书，至感。所中书刊检查管制办法春来稍有更动，“书刊以曾经内政部登记有案准许出版者为限”，纵经登记有案出版者，如有左列情形之一之书刊，概不发阅（未经登记者自更属之）
（一）有违三民主义立国最高原则者。
（二）有违反共决策影响民心士气者。
（三）有违我国文化伦理道德者。
（四）有害在押或受刑人身心健康者。
（五）著作人曾经查禁有案者。
（六）时事，新闻，评述及剪报类。
（七）本所人力所不易辨识之外国语文。
（八）挂图，画报（刊）歌曲，及日（月）历类。
（九）日记簿，记事簿，笔记簿，及手册类。
（十）其他本所认为不宜在所内阅读或未经审查者。”
故你寄的书，多不能通过。你费神寄了，而我收不到，反倒有负好意。所以我建议你不要再寄了，还是由我在这边托所方代买，先审后购，反易收到。我目前的苦恼是我的一些钱已非我说了算，不但被小八掌握甚至连准时汇我都做不到。你可以买我一套《中华古籍丛刊》吗？我想你汇我叁仟圆，此书原订价捌仟，现中文书涨了，你如卖得好，不会吃亏。附提书单于后，你可撕下向小八要。",限制太多就换一条可达的路,在层层限制下，硬按原路推进，常常只是把力气浪费在关卡上。狱中书信里，李敖发现外面寄书不易通过，就改为请人从监所认可的渠道购买；人生遇到封锁时，聪明不是和墙赌气，而是找到仍能抵达目标的合法路径。,应变;困境;方法
LZWJ004,《李敖杂文集》,002.狱中书信两封.txt,狱中书信两封,"你除夕信及代垫卖书款贰仟元收到。你说：“房子二月不可能腾出来。”书，房二事乃一事，前者不得解决，后者即无法。我刚给孟一信，决定：“托丁卖书，丁已前后代为垫汇我九千元，如今他书没拿到，房子也腾不清，无法运用，我内心实感不安。我盼你再南下一次，周渝擅买那三个新铁柜及台中的家俱移丁处理，丁要的书，能找出多少，找出多少，立据给你。然后就现状稍事清理，把台中老家封存起来算了。台中书房似非等我出来，无法可想。”——目前只得暂决定如上。你的构想开店事，一来分出可卖不可卖之书太费周章，似非我莫办，二来能否售得顺利尚未定，而店面开支恐得不偿失，故恐难实行。
孟南下，你照我前述取得书物，即折价代垫，仍每月贰仟汇我，折光即停汇，我收款一定收得到，不再每次写信了，等有事再写。小八搅得我疲惫不堪，九月间去总医院检查，肺囊肿需开刀，血压且高到160。小八三号出狱了，老太说不好意思来看我云云。一直没见到。只知道他在靠老太吃饭，老太则靠海外四女儿“施舍”，家事不堪闻问，如此而已。",困局中先安排可处置的事,身在牢狱，许多大事不能由自己决定，但钱、书、旧宅、家务等可处置事项仍要交代清楚。真正的镇定不是假装困局不存在，而是在有限空间里把还能处理的部分一件件安顿好；可控制的事越清楚，不可控制的压力越不容易把人吞没。,困境管理;秩序;现实感
LZWJ005,《李敖杂文集》,003.李敖札记.txt,李敖札记,快乐是里应外合的。快乐可以内发，也可以“外打进”——先咧开嘴，你就会笑。林肯说你可以想要多快乐就多快乐，就是指此。“形式”可以决定“内容”、“程序”可以影响“实质”，这是技术上的真理。（1989年3月4日）,形式也能反过来带动心情,快乐不全是内心凭空发生的结果，也会受外部形式和程序牵引。先整理环境、调整表情、进入某种仪式或节奏，未必虚伪，反而可能把心绪带回正轨；懂得用形式影响内容，是一种实用的情绪技术。,情绪管理;方法;快乐
LZWJ006,《李敖杂文集》,003.李敖札记.txt,李敖札记,在重大不快事件的干扰后，我的修养，不能做到无动于衷，我会受它影响，也不快乐。但是我的修养，却能在一小时内完全平定不快乐、完全恢复正常。大人当羡慕小孩子，小孩子啼笑之间，间不容一颗棒棒糖，泪痕犹在，已见笑脸，这是多么可爱的境界！（1989年3月4日）,不快要练到快速复原,人生不能保证不受打击，却可以训练复原速度。李敖说自己遇到重大不快，一小时内就能安定下来，这不是没有感觉，而是不让感觉无限占领生活；能快快收拾心神的人，才不至于让一次挫折拖垮后来所有判断。,复原力;情绪;自持
LZWJ007,《李敖杂文集》,003.李敖札记.txt,李敖札记,"是必为也，非必能也
晚饭前黄三问我：“你这样搞国民党有效吗？”我说：“搞国民党像搞屄。这不是能不能的问题，只是要一搞耳！有性欲、无性能是另一问题，重要是你要志在一搞才行。”黄三大笑。（1989年3月24日）",必为之事不先问能不能,有些事的关键不在成功概率，而在它是否必须去做。若凡事先问“能不能”，人很容易被胜算吓退；但面对原则、责任和非做不可的选择，先承认“是必为也”，才有资格再谈方法和成败。,责任;勇气;原则
LZWJ008,《李敖杂文集》,003.李敖札记.txt,李敖札记,吴越潮生前在信义路口对我说：“国民党里有很多坏人，所以局面弄成现在这样子；但国民党里也有好人，所以弄成现在这样子还能拖下去。”但我总觉得，帮助国民党作恶的好人，只是“坏的好人”耳！岂配称为好人哉？（1989年4月13日）,帮坏制度作恶的好人仍有责任,一个人私德温和、待人客气，并不足以抵消他在坏制度中帮忙作恶的事实。所谓“坏的好人”，提醒我们判断人不能只看性情，还要看他把能力交给了谁、替什么后果服务；善意若成了恶行的齿轮，也要承担道德责任。,道德判断;制度;责任
LZWJ009,《李敖杂文集》,004.台大校长不要脸.txt,台大校长不要脸,"这太无耻了，你怎么在自己任上自肥呢？陈维昭这样无耻、自肥，台大教授就看不过去了，所以有个声明，认为“为台湾教育史上留下良好示范，台大校长续任应经审慎评鉴”，他们说，“现任台大校长是依八十二年大学法及当时台大组织规则上任的，其任期当然依当时法规规定，新的规定只能对下任校长生效，才符合法理。”
然而台大新组织规程于八十四年10月24日由教育部核定生效，校务会议却径行于规程中规定“本规程修正实施前，已任聘校长之初任为续任，准用第1项及第2项。”就是说这规定适合我了！陈维昭条款，使陈校长任期延为4年，并准用新的办法再来4年。
更不可思议的，这些条文都是在有关当事人亲自主持监督下，由校务代表举手通过的。这太无耻了吧！你这校长为了这样做太无耻了！太无耻了！陈维昭他写文章，“迈向21世纪的台湾大学”，台湾大学还没迈向21世纪，这个校长无耻，先迈向21世纪了！",制定规则的人不可顺手自肥,规则最怕被制定者顺手改成自己的好处。一个人在位置上越有权修改制度，越要避开把自己塞进优惠条款的诱惑；不懂回避利益冲突，再漂亮的制度语言也会变成自肥的遮羞布。,规则;利益冲突;公私分明
LZWJ010,《李敖杂文集》,004.台大校长不要脸.txt,台大校长不要脸,我们看到台大校长不要脸，一个是在自己任内不断延任，干到现在；第二个，明明你公开说台大迫害殷海光，然后请你作证却耍赖不出庭，不尊重真理、人权、司法。,公开讲过的真相要敢承担,在安全场合公开说过的话，到了需要作证、承担和面对后果时也应站得出来。真理不是只供演讲使用的装饰，若说时激昂、证时退缩，实际是在把正义交给空气；敢把言论带到责任场合，话才有重量。,担当;证言;真理
