id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LAYL001,《李敖语录》,004.自我炼钢.txt,自我炼钢：担当,担当先要稳住自己,担当不是把气势摆出来，而是把自己训练到深沉、冷静、沉着、持重，遇事忍得住、不浮动、不张皇。真正能扛事的人，先能管理自己的反应；外面的重量还没压垮他以前，他不会先被自己的慌乱压垮。,人生智慧;担当;冷静;自持
LAYL002,《李敖语录》,004.自我炼钢.txt,自我炼钢：有条件的回想,回忆只为提取教训,过去当然可以记得，但不该反复回头让往事继续消耗现在。值得回想的，是能从错误中提取教训、从经验中得到益处的部分；凡是只会削弱当下行动力的缅怀与想象，都应当被节制，否则回忆就会变成新的毒素。,人生智慧;回忆;教训;行动
LAYL003,《李敖语录》,004.自我炼钢.txt,自我炼钢：感觉的生活与意志的生活,从感觉生活走向意志生活,普通生活容易被声色香味牵着走，意志生活却要求人把选择交还给自己。过意志的生活未必舒服，甚至常常辛苦，但一天结束时更能心安；因为你不是被感觉推着过日子，而是在用方向统摄感觉。,人生智慧;意志;自律;方向
LAYL004,《李敖语录》,004.自我炼钢.txt,自我炼钢：毒蛇喻,受伤后先解毒,突然受伤时，最重要的不是反复研究为什么被伤、伤得多重、谁该负责，而是先阻止伤害继续扩大。人生里很多二次伤害，来自震惊、回想和自怜拖延了解毒；清醒的人先处理毒性，再处理意义。,人生智慧;受伤;处置;自救
LAYL005,《李敖语录》,004.自我炼钢.txt,自我炼钢：论懒惰,懒惰是原可更好而未做,懒惰不只是完全不做事，也包括明明可以做得更好却停在半醒状态。人若只把低标准完成当作勤劳，就会长期浪费自己的富源；真正反懒惰，是用“我原可更好”的尺度检查自己，把未尽的能力逼出来。,人生智慧;勤奋;标准;自省
LAYL006,《李敖语录》,004.自我炼钢.txt,自我炼钢：第一等人,用第一等人的尺度审问自己,遇到难题时，把自己放到第一等人的尺度下审问，能帮助人摆脱小气、怨气和即时反应。所谓高标准，不是崇拜名人，而是借他们的眼光校正自己的选择：欢乐不轻浮，不幸不失态，只问此刻该做什么。,人生智慧;标准;格局;选择
LAYL007,《李敖语录》,004.自我炼钢.txt,自我炼钢：沉默,沉默是思想的训练,少说话不是怯懦，而是给思想、情绪和语言留出成熟时间。许多多余的话只证明人没有定力，真正有分量的表达，常来自沉默中的清醒和缜密；不能确定说出来有价值时，闭嘴本身就是一种修养。,人生智慧;沉默;表达;成熟
LAYL008,《李敖语录》,004.自我炼钢.txt,自我炼钢：道与得,大愿要走到习惯,真正的改变不是一时兴奋，而是从发愿、勉强去做、养成习惯，最后做到兴味盎然。开始时靠硬撑并不可耻，关键是让行动反复发生，直到它从外在要求变成内在滋味；能放不下好事，才算得到。,人生智慧;习惯;成长;坚持
LAYL009,《李敖语录》,004.自我炼钢.txt,自我炼钢：宁静,宁静来自克己,宁静不是外界没有风浪，而是自己经过克己训练后，内心不轻易被刺激带走。若一个人每天都在欲望、社交和情绪里被拉扯，他很难真正安定；能够长期约束自己，才会在大恐慌里仍保留一块平稳的地方。,人生智慧;宁静;克己;定力
LAYL010,《李敖语录》,004.自我炼钢.txt,自我炼钢：有余味,有余味的生活靠节制,有余味的快乐，往往来自轻松、宁静、安全和自尊，而不是把所有欲望都追到底。节制不是贫乏，而是让生活保留回旋和含蓄；人若凡事用尽、话说尽、情绪耗尽，短时痛快之后就很难剩下余味。,人生智慧;节制;快乐;自尊
