id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
DDZS001,李敖颠倒众生,001.20000508从敖之吾兄说起.txt,20000508从敖之吾兄说起,颠倒视角，是为了把事看正,李敖解释“颠倒众生”时，把颠倒理解成逆向思考、重新检查和纠正颠倒梦想。人生遇到成见太厚的事，不妨先把角度倒过来；倒过来不是故意唱反调，而是让自己有机会看见原来被习惯遮住的正面。,逆向思考;成见;判断
DDZS002,李敖颠倒众生,001.20000508从敖之吾兄说起.txt,20000508从敖之吾兄说起,才气也要站在基本架构上,李敖说自己没有太多时间练毛笔字，但仍看重毛笔字的基本架构，靠知识分子的才气去发挥。人生做事可以有才气、有临场感，但基本架构不能乱；没有架构的才气容易变成散乱，有架构的才气才有可承载的形。,才气;架构;基本功
DDZS003,李敖颠倒众生,002.20000509法院两头大.txt,20000509法院两头大,面对强者，更要守程序,李敖谈法院面对原告、被告两边都有来头时，就不能欺善怕恶，只能回到法律程序细看。人生处理强者之间的争端，更不能靠情面、气势和身份决定；越是谁都惹不起，越要让程序替你说话。,程序;强者;公平
DDZS004,李敖颠倒众生,002.20000509法院两头大.txt,20000509法院两头大,文件鉴定比亲属切割可靠,李敖谈政治人物否认亲笔信时，强调调查鉴定的“极相似”比把责任推给亲属更有分量。人生面对争议，不要只听谁把谁切割出去；笔迹、文件、时间线这些可核验的东西，才更能把真伪钉住。,文件;证据;真伪
DDZS005,李敖颠倒众生,003.20000512阿扁守则.txt,20000512阿扁守则,空洞守则经不起换位,李敖批评青年守则式套语时说，许多抽象名词换一换位置也照样说得通，说明并没有多少真实内容。人生听到格言、守则和口号时，要试着替换一下词序和对象；如果怎么换都像对的，它可能只是漂亮空话。,守则;口号;辨别
DDZS006,李敖颠倒众生,004.20000515扁现象.txt,20000515扁现象,礼貌是关系的边界,李敖拒绝先被电话试探是否出席，再决定寄不寄请帖，认为礼貌上应该先发邀请，再由他决定去不去。人生很多所谓小礼节，其实是在确认彼此边界；先尊重对方选择，关系才不会一开始就失衡。,礼貌;边界;尊重
DDZS007,李敖颠倒众生,004.20000515扁现象.txt,20000515扁现象,真实条件比漂亮借口干净,李敖说自己不出席典礼，不假装生病、不假装有约，而是直接提出公开承认一个中国这个条件。人生拒绝一件事时，与其编圆滑借口，不如把真正条件说清楚；坦白未必讨喜，但比虚伪更干净。,拒绝;坦白;条件
DDZS008,李敖颠倒众生,005.20000516黄旗梦远.txt,20000516黄旗梦远,上场有时不是为赢，而是为发声,李敖回顾新党推出总统候选人时，重点不只是能否当选，而是没有参选就没有进入媒体、演讲和公共讨论的机会。人生有些局面值得上场，不是因为一定会赢，而是因为不上场就连表达理念的位置都没有。,发声;机会;参与
DDZS009,李敖颠倒众生,005.20000516黄旗梦远.txt,20000516黄旗梦远,机智能让威胁失去力道,有人威胁说若李敖得票害宋楚瑜落选就杀他，李敖用“一起去自杀好了”化掉紧张局面。人生遇到粗暴威胁，未必要立刻硬撞；一句机智的反转，有时能把对方的气势卸掉，让场面重新回到可控。,机智;威胁;化解
DDZS010,李敖颠倒众生,006.20000517历史解释权.txt,20000517历史解释权,记录之外，还要追问责任,李敖讲赵盾弑君，指出史家不只记录谁动手，还解释谁有位置、有责任却不追凶。人生看事件也不能只问表面动作；谁纵容、谁失职、谁事后不追究，常常才是责任真正落脚的地方。,历史解释;责任;追问
