id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
JJGYJ001,蒋经国研究,001.鼓励诋毁元首才是正路.txt,鼓励诋毁元首才是正路,站得住的人，不怕被丑化,文章从杰斐逊任人痛骂说起，指出自由社会里最高权力者也应经得起难听话。人生里若一个人真站得住，批评和丑化伤不了他的根本；若一被讥刺就急着封口，反倒说明他怕的不是别人胡说，而是真相会被说中。,自由;批评;自信
JJGYJ002,蒋经国研究,001.鼓励诋毁元首才是正路.txt,鼓励诋毁元首才是正路,权力越高，越该开放被批评的空间,文中说政府若要证明自己站得正、得民心，反该鼓励诋毁元首的局面出现。人生里位置越高的人，越不能只保留赞美；允许别人冲着自己说难听话，才是实力和开明的证明。,权力;言论;开明
JJGYJ003,蒋经国研究,002.骂总统的自由.txt,骂总统的自由,看自由，不看口号，看能不能骂到最高处,文章比较军阀时代和国民党时代的言论空间，重点不在替军阀说好话，而在说明自由要看最尖锐处。人生里判断一个环境是否开放，不看它容许多少无关痛痒的话，而看它能不能容许批评最高、最敏感的位置。,自由;环境;尺度
JJGYJ004,蒋经国研究,002.骂总统的自由.txt,骂总统的自由,被长期宣传的坏对象，也要重新比较,文中提醒小百姓不要只跟着宣传去骂军阀，而要比较真实言论空间。人生里别人教你恨谁、笑谁、轻视谁时，最好自己查一查；宣传能制造印象，比较才能恢复判断。,宣传;比较;判断
JJGYJ005,蒋经国研究,003.“中华民国”总统到底几任？.txt,“中华民国”总统到底几任？,历史不是裤腰带，不能随需要松紧,文章追问总统任期算法，批评国民党把不利的北洋时期剪掉，把有利的党史拉长。人生里回忆和叙事也不能按自己需要伸缩；有利的算进来，不利的删出去，最后不是抬高自己，而是侮辱事实。,历史;事实;叙事
JJGYJ006,蒋经国研究,003.“中华民国”总统到底几任？.txt,“中华民国”总统到底几任？,共同历史不能被一派人私有化,文中说国家主权与历史属于国民全体，不是某个党派可随意取舍的私产。人生里共同事业、家族记忆、团队成果也一样，不能由掌权者独自剪裁；越想把别人小化，越暴露自己的小气。,共同体;历史;格局
JJGYJ007,蒋经国研究,003.“中华民国”总统到底几任？.txt,“中华民国”总统到底几任？,讨厌一个人，也不能否认他曾经存在,文章指出即使不喜欢袁世凯等人，也不能否认他们做过总统的事实。人生里不认同一个人，不等于可以把他的痕迹从账本上擦掉；成熟的判断，是承认事实以后再评价，而不是先把事实消灭。,事实;评价;成熟
JJGYJ008,蒋经国研究,004.中华民国总统怎样暗杀政敌？.txt,中华民国总统怎样暗杀政敌？,暗杀政敌，是权力承认自己输了理,文章写政治暗杀看似干脆，其实最野蛮也最反动。人生里一个人若不能公开竞争、不能用制度解决分歧，而要把对手从肉体上消灭，就等于承认自己已经没有道理和气度来面对对方。,权力;暴力;竞争
JJGYJ009,蒋经国研究,004.中华民国总统怎样暗杀政敌？.txt,中华民国总统怎样暗杀政敌？,作案者主持破案，真相多半会被表演吞掉,宋教仁案中主谋一面作案，一面悬赏缉凶、慰问死者，演出贼喊捉贼的戏码。人生里遇到重大丑闻，不能让最有嫌疑的一方垄断调查；调查若成了表演，真相就会被程序外衣吞掉。,调查;真相;程序
JJGYJ010,蒋经国研究,004.中华民国总统怎样暗杀政敌？.txt,中华民国总统怎样暗杀政敌？,替权力做脏事的人，迟早也会成为脏事,赵秉钧一类特务头子替权力做阴谋，最后自己也被权力处理。人生里不要以为替强者办见不得光的事，就能永远换来庇护；脏活做得越多，越容易在下一轮清理中变成需要被灭口的证据。,权力;工具;自保
