id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
SXJ001,李敖书序集,001.写在居浩然《十论》的前面.txt,写在居浩然《十论》的前面,交班要看能力，不是只看血缘,把事业交给后来者，本来可以是胸襟；但交班必须等对方能承担，而不是因为亲缘或名分就提前让位。真正负责的前辈，不是恋栈，也不是放任，而是在事情上轨道、接班人有能力之后，再把位置交出去。,交班;能力;责任
SXJ002,李敖书序集,001.写在居浩然《十论》的前面.txt,写在居浩然《十论》的前面,公器不能被家务吞掉,学校、机构、事业一旦被家务和私怨拖进去，贤者就难安其位，不肖者反会喧宾夺主。公器最怕私人关系暗中支配，最后连小职员去留都不能按公理处理。真正爱一项事业，就要把家务和公事切开。,公器;家务;制度
SXJ003,李敖书序集,001.写在居浩然《十论》的前面.txt,写在居浩然《十论》的前面,为死友保存心血是人类情谊,替死去的朋友整理遗著、印行心血，不只是某种传统道德，更是人类共有的情谊。朋友已不能替自己发声，活着的人若还有能力，就该替他留下一点公道和作品。乱世中愿意做这种赔钱事，尤其显出情义的重量。,友情;遗著;情义
SXJ004,李敖书序集,002.介绍《汪政权的开场与收场》.txt,介绍《汪政权的开场与收场》,败方也要把话说清楚,成王败寇的叙事最容易把复杂人生压成一个结论。身败名裂的一方若仍有事实、幽愁和公道要说，也应被允许说个明白。人生里评价失败者，不该只听胜利者的判词；很多警世醒世的真相，正藏在败局后的自辩里。,历史;败方;公道
SXJ005,李敖书序集,003.《恶法录及其他》新版前言.txt,《恶法录及其他》新版前言,批判恶法要做成系统作业,对恶法的反抗不能只靠一时愤怒，最好能把问题一条条整理、连载、汇集，形成可供后来者查考的作业。制度性的坏，需要制度性的记录和批判。把切身之痛变成长期整理，才可能从个人委屈变成公共功德。,恶法;记录;批判
SXJ006,李敖书序集,003.《恶法录及其他》新版前言.txt,《恶法录及其他》新版前言,取舍之间，富贵要靠边站,一个人本可凭关系长保富贵，却选择进入危险的思想阵地，最后失业、书被禁，这才看得出取舍。人格不在平时口号里，而在富贵和义路同时摆在眼前时。能让富贵靠边站的人，才真正知道自己站在哪里。,取舍;富贵;人格
SXJ007,李敖书序集,004.介绍《紫禁城的黄昏》.txt,介绍《紫禁城的黄昏》,人的缺点不必抹杀证词价值,一个人可能有书呆气、旧派偏见，甚至迷恋过时礼法，但这不表示他的目击记录没有价值。判断材料时，要把作者的局限和他掌握的事实分开。成熟的读者不会因为人有毛病就丢掉证词，也不会因为证词有用就神化其人。,证词;判断;局限
SXJ008,李敖书序集,004.介绍《紫禁城的黄昏》.txt,介绍《紫禁城的黄昏》,责任要紧，危险不能取消职责,梁鼎芬在枪弹横飞时仍说“我的责任要紧”，这句话最动人处不在冒险本身，而在职责压过恐惧。人生当然要估量危险，但有些位置一旦承担，就不能一遇风险便躲到安全处。真正的责任感，会让旁人也生出勇气。,责任;勇气;危险
SXJ009,李敖书序集,004.介绍《紫禁城的黄昏》.txt,介绍《紫禁城的黄昏》,目击身经的实录最难得,历史最怕只剩二手判断和后来包装，最珍贵的是当事人“目击身经”的实录。一个时代的细节，往往只有亲历者能留下。珍惜这种记录，不是因为它永远无误，而是因为它保存了后来者无法重造的现场。,实录;亲历;历史
SXJ010,李敖书序集,005.推荐《海国男儿》.txt,推荐《海国男儿》,好书能给烦恼者以读书的喜悦,真正会写给少年和烦恼者看的书，不是拿苦难压人，而是刺激他们的兴趣，牵动他们的心，让他们到书本里寻找喜悦和安慰。教育人的文字若只讲道理而败坏兴趣，就少了功德；能把人引向阅读，本身就是帮助。,读书;兴趣;安慰
SXJ011,李敖书序集,005.推荐《海国男儿》.txt,推荐《海国男儿》,重温旧梦最好不破坏它,人生有一种快乐，是多年后重遇少年所爱的书、地方或人，而旧梦并未被现实打碎。不是每个旧梦都经得起重温，所以能重温而不破坏，尤其可贵。它提醒人，生命里有些早年的光，并不必然随年岁消失。,旧梦;记忆;快乐
SXJ012,李敖书序集,006.介绍《满宫残照记》.txt,介绍《满宫残照记》,史料要趁现场未冷时保存,满宫方圮、文物犹新的时候，有心人进入现场调查、访问、征取记录，才留下难得材料。很多历史一旦错过时机，就只剩传闻和废墟。做任何记录工作，都要懂得打铁趁热，在现场还没冷掉时把证据抓住。,史料;时机;记录
SXJ013,李敖书序集,006.介绍《满宫残照记》.txt,介绍《满宫残照记》,刻板史料里也藏着活人情,有些书看似全是刻板史料，细读却能看见家书、礼数、伪善、亲情和末世心境。读材料不能只怕枯燥，真正有耐心的人，能从断简残篇里看见活人。历史的趣味，常藏在别人嫌干的地方。,史料;细读;人情
SXJ014,李敖书序集,007.《调查局研究》序.txt,《调查局研究》序,不要把安全押在权力恩宠上,一个人今天被召见、记功、赠照，明天也可能被同一权力定成罪人。靠权力恩宠得到的安全，最不可靠，因为赏识和整肃都在别人手里。真正清醒的人，不会把生命的稳定押在上峰一时的脸色上。,权力;恩宠;风险
SXJ015,李敖书序集,007.《调查局研究》序.txt,《调查局研究》序,出狱后的见闻要写成信史,经历过黑暗而侥幸出来的人，若还能写，就该把几十年来的见闻写出来。个人受难若只停在伤口里，容易随人而灭；写成信史，才可能让后来者知道制度怎样运行、人怎样受苦、真相怎样被遮盖。,见闻;信史;受难
SXJ016,李敖书序集,007.《调查局研究》序.txt,《调查局研究》序,培养不是打倒的漂亮说法,权力最会把“培养干部”挂在嘴边，实际却用斗争和整肃毁灭干部。判断一个组织，不要听它怎样歌颂人才，要看它怎样对待有缺点、有独立性、有功劳却不顺从的人。真正的培养，是纠正和扶持，不是借机打倒。,组织;人才;权力
SXJ017,李敖书序集,008.推荐《李宗仁回忆录》.txt,推荐《李宗仁回忆录》,伟大回忆录常靠互补合作,一个亲历者有经历却未必有结构，一个历史家有方法却未必在场。好的回忆录，常要口述者和执笔者互相补足，才能把零散记忆组织成历史。人生中许多大事也是如此，懂得找互补的人，成果才可能超过个人能力。,合作;回忆录;互补
