id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
HSYJ001,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,名声热闹不等于心灵不寂寞,李敖写胡适笑得好，却总觉得他是寂寞的人；越是被捧上高位的人，越可能缺少真正理解他的同道。人生不要把掌声误认成陪伴，也不要把围绕在身边的人误认成知己；真正懂你的人，未必最多，却最能在热闹散后仍看见你。,名声;寂寞;识人
HSYJ002,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,怀念一个人不能只剩仪式,胡适死后，许多生前围绕他的人只会在生日忌日里三鞠躬，一哄而散，李敖对此极不满意。人生怀念一个人，最廉价的是仪式，最困难的是继承他未完成的思想工作；若只会献花而不敢辩护，所谓追随不过是礼貌。,怀念;仪式;继承
HSYJ003,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,不讨好两边才可能靠近真面目,李敖知道《播种者胡适》会三面不讨好：骂胡的人说他捧胡，捧胡的人说他骂胡，胡适本人也可能不开心。人生若真要写人论事，就不能先求站队安全；真面目常在两边都不满意的地方出现。,真相;不讨好;独立
HSYJ004,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,历史写作只问真相不问讨喜,他明说自己是搞历史的人，只晓得追求历史真相，不计其他。人生处理人物和往事，最怕把喜欢、讨厌、派别和人情放在真相前面；能把讨喜让开，历史才有机会显出它本来的骨相。,历史;真相;原则
HSYJ005,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,看论敌要看基本思路而非枝节,他不愿在文字枝节上继续缠斗，而要从对方的基本思路、理论背景和心理运作去理解他们。人生与人争辩，若只追字句小错，很容易越辩越碎；看清对方为什么这样想，才算抓到真正的症结。,争辩;基本思路;理解
HSYJ006,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,年轻人也能承担沉默者不肯承担的辩护,胡适身后，许多门生高足沉默，反倒由李敖这个“不相干的青年小子”开创吵闹局面。人生不要因为资历浅就放弃发声；当该说话的人沉默，能认真做功课的人就有资格接过辩护和批评的责任。,发声;资历;责任
HSYJ007,胡适研究,《胡适研究》前记.txt,《胡适研究》前记,缘分不是依附，亲近也不是护短,李敖承认自己和胡适有许多缘分，却否认所谓世交或全心支持的标签。人生与重要人物相遇，不必把缘分包装成依附；真正有价值的亲近，是还能保留判断，而不是拿关系替真相遮风。,缘分;独立;关系
HSYJ008,胡适研究,001.播种者胡适.txt,001.播种者胡适,形式解放会释放精神自由,李敖指出文学革命看似文字形式改革，其实形式和体裁的束缚会斲丧精神自由，使好的内容不能充分表现。人生做任何表达，都不要轻视工具和形式；换一种更自由的语言，往往也会换出更自由的思想。,表达;形式;自由
HSYJ009,胡适研究,001.播种者胡适.txt,001.播种者胡适,有话才说，说自己的时代话,胡适把消极的八不主义改成肯定语气：有话才说，说自己的话，说这个时代的话。人生最怕借别人的腔调活着；真正的表达，不是堆典故和姿态，而是把自己的问题、自己的时代、自己的判断讲清楚。,表达;自我;时代
HSYJ010,胡适研究,001.播种者胡适.txt,001.播种者胡适,承认有病，改良才有起点,胡适借易卜生主义提醒人，社会明明有病却偏说无病，就不会有改良。人生面对自己、家庭或社会的问题，第一步不是粉饰，而是承认病灶；不承认问题的人，永远只能维护旧伤口。,问题意识;改良;诚实
