id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
ZGXY001,中国性研究,《中国性研究》自序.txt,《中国性研究》自序 / 全书定位,别把后人的遮掩误当传统,李敖在自序中说，本书讨论生殖器官、两性肉体和两性观念，并指出古人并不总是遮遮掩掩，伪君子与假道学多是后代加上的。人生看传统，不能把后来人的禁忌包装误认成原始真相；先分清什么是古人材料，什么是后人遮掩，才不会被假传统管住眼睛。,传统;禁忌;去遮掩
ZGXY002,中国性研究,001.《易经》中的性交文字.txt,《易经》中的性交文字 / 孔子学易附会,先拆附会，再谈传统,李敖从《论语》古文和陆德明注音入手，指出孔子晚年迷《易》的说法很可能是后来附会。面对传统名声，不能因为它挂在圣人身上就照单全收；先拆开版本、语音和来源，才知道哪些是真材料，哪些是后人加上的光环。尊重传统，不等于替附会站岗。,传统;考证;去附会
ZGXY003,中国性研究,001.《易经》中的性交文字.txt,《易经》中的性交文字 / 平易浅近,越玄妙，越要还原用途,李敖说《易》本是卜筮手册，本来平易浅近，后来被人越讲越玄，反而误入死巷。许多理论、制度和名词也是如此：一旦被讲得高深莫测，先问它原来解决什么问题。把对象还原到用途，常比跟着玄谈更接近真相。,还原;用途;反玄学
ZGXY004,中国性研究,002.《战国策》记性交姿式.txt,《战国策》记性交姿式 / 放而绝之,禁书不如辨书,李敖借曾巩保存《战国策》的说法指出，对所谓邪说，不是灭其籍就能胜利，而是要让世人知道它说了什么，再公开辨明不可从、不可为之处。人生处理错误意见也一样：删除只制造无知，辨析才训练判断。能留下反面材料，社会才有免疫力。,言论;辨析;反面教材
ZGXY005,中国性研究,003.佛经中的性交文字.txt,佛经中的性交文字 / 宗教与身体,高调禁欲也绕不开人性,李敖先写佛经中贬抑女人、要求脱离欲望的一面，又指出密宗经典仍会正面书写性交与敬爱。越是高调宣称超脱身体的体系，越要看它如何处理真实的人性和欲望。做人不要被清高口号骗住，能否诚实面对身体和需求，才是思想成熟的检验。,人性;宗教;欲望
ZGXY006,中国性研究,004.且且且且且.txt,且且且且且 / 生殖器崇拜与文字,体面叙事下面常有粗粝根源,李敖从石男根、陶祖、圭、且、祖等材料，揭出礼义之邦背后也有生殖器崇拜和权位象征。许多体面制度并不是从天上掉下来的，而是从身体、权力、祖先和欲望中慢慢精致化出来。看世界若只看装饰好的表层，就会被文明的包装骗过。,文化根源;权力;身体
ZGXY007,中国性研究,005.鸡巴考.txt,鸡巴考 / 不避俗语俗字,活语言能把意思说到现场,李敖接着胡适“不避俗语俗字”的主张，故意把俗字放进文章，并从《金瓶梅》《红楼梦》追出它的文学来历。表达的目的不是装斯文，而是把意思说活、说准、说到读者眼前。只怕俗而不怕假，文字就会失去现场感。,写作;活语言;现场感
ZGXY008,中国性研究,005.鸡巴考.txt,鸡巴考 / 撒粗与准确,粗直表达要有材料作底,李敖说自己用粗俗字眼并非为了下流，而是有意蔑视假斯文；同时他举出《金瓶梅》《红楼梦》的文字谱系，说明粗直也可以有来历。人生说重话、用硬词，不能只靠情绪逞快；若有材料、有目的、有分寸，粗直才可能变成准确，而不是噪音。,表达;材料;分寸
ZGXY009,中国性研究,006.狂童之狂也，鸡巴！.txt,狂童之狂也，鸡巴！ / 诗经被道德化,别让教条压扁作品本情,李敖批评孔子以后把《诗经》道德化，使本来活泼的歌谣被经学教条压得离本来面目越来越远。读作品、看人、看事件，都要警惕后来加上的道德框架。框架若太强，作品中的情欲、玩笑、反抗和生活感都会被解释没了。,读书;教条;还原
ZGXY010,中国性研究,007.记“阴茎异常勃起”.txt,记“阴茎异常勃起” / 请教医生,跨界考证先补专业盲点,李敖想写古典中的“阴茎异常勃起”，先向林永丰医生请教学理材料，再回头整理古书。跨界判断最怕拿旧材料硬套新知识；真正可靠的做法，是先承认自己的专业盲点，让懂行的人把基础概念校正好，再展开考证。,跨界;专业;考证
