id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LAFDJ001,李敖发电集,001.1999年12月1日.txt,1999年12月1日,反应之前先辨清对方来意,李敖开篇借笑话说“会错了意，先表了情”，提醒人最容易在未弄清情境时急着反应。人生遇到压力、诱惑或批评时，先确认对方究竟要什么、局面究竟是什么，再决定姿态；误判来意会让你把聪明用成滑稽。,判断;情境;反应
LAFDJ002,李敖发电集,001.1999年12月1日.txt,1999年12月1日,死者也不能免于事实检验,他反对用“人死为大”阻止评论，认为一个人的功过仍应回到事实和历史判断。人生评价别人，不该因对方刚离场就只剩颂词；尊重生命不等于取消是非，真正的公道是在情感之外仍保留判断力。,是非;历史;评价
LAFDJ003,李敖发电集,002.1999年12月2日.txt,1999年12月2日,少奢求道德，多讲明利害,他读吴俊宏来信后承认，道德说服在浅盘、现实、短视的社会中未必有效，因此宁可把利害讲清楚。人生推动事情时，不必每次都从最高理想切入；当对方只听得懂后果，先用后果把路讲通，也是一种务实。,务实;说服;利害
LAFDJ004,李敖发电集,002.1999年12月2日.txt,1999年12月2日,理想主义者也要学会降低失望,他提醒理想主义者，若一味向芸芸众生要求道德高度，只会不断受挫。人生保有理想并不表示要把所有人都想成理想的人；看清普通人的限度，反而能让理想少受幻灭，多一点可操作性。,理想;现实;期待
LAFDJ005,李敖发电集,003.1999年12月3日.txt,1999年12月3日,远期局势不能只按恐惧估算,面对“五十年会被拖垮”的疑问，李敖用历史反问：五十年太长，其中充满意想不到的变化和机会。人生评估长期选择，不能只把未来想成坏消息的延长线；时间越长，越要把机会、反转和自身调整能力算进去。,远见;机会;时间
LAFDJ006,李敖发电集,003.1999年12月3日.txt,1999年12月3日,被挑战时先拆掉对方的前提,他回答台大学生质疑时，不急着在对方框架里防守，而是逐条拆解“背书”“内政”“朝令夕改”等前提。人生面对尖锐质问，最怕只回答表面问题；先看问题预设了什么，才能不被对方牵着走。,辩论;前提;思考
LAFDJ007,李敖发电集,004.1999年12月6日.txt,1999年12月6日,资料搜集要先于立场表演,李敖被人称为资料搜集功夫世界一流，重点不在炫耀藏书，而在用文件让判断落地。人生发言若只靠情绪和阵营，很快就会空转；能把证据找出来、保存好、摆清楚，才有资格让观点站得住。,资料;证据;立场
LAFDJ008,李敖发电集,004.1999年12月6日.txt,1999年12月6日,复杂问题适合拆成问答来澄清,他请朋友用问答体说明“一国两制”，把台湾定位、联合国和制度安排分段处理。人生遇到牵涉概念、历史和利益的难题，不妨先把大题拆成小问；问题清楚了，答案才不会被口号搅乱。,方法;问答;澄清
LAFDJ009,李敖发电集,005.1999年12月7日.txt,1999年12月7日,反对一件事，先分清你到底反对哪一层,他借“一国两制”指出，有些人反对的其实不是“两制”，而是“一国”。人生许多争执看似对立，实则混在不同层次里；先把对象拆开，才知道自己反对的是原则、方法、名称，还是情绪。,辨析;层次;争议
LAFDJ010,李敖发电集,005.1999年12月7日.txt,1999年12月7日,高调表态必须经得起账本追问,他追问广告和电视台买卖背后的资金来源，认为越是高调的政治或道德表演，越要接受账本检验。人生不要轻信昂贵的姿态；看一个人真不真，常常要看钱从哪里来、代价由谁付、责任落到谁身上。,账本;责任;真实
