id,book,source_file,source_chapter,source_text,wisdom_title,wisdom_text,theme_tags
NBD001,《你笨蛋，你笨蛋》,001.送高信疆归大陆序.txt,送高信疆归大陆序,"10年20年过去了，30年40年过去了，50年也过去了，生离死别的第二代，他们成长、壮大、出类拔萃，在千分之三的中国土地上、在海角天涯的台湾岛上，他们虽然大展身手，可是不能一施抱负，因为在格局太小的岛上，假民主使他们不能变成主人、真民粹使他们又沦为客人，他们虽然无怨无悔，可是毕竟有志难伸，台湾对他们太小了。
“他们”在文法上是复数，在事实上却是少数，寥寥可数的少数，这些最优秀的中国人，他们不甘埋没在千分之三的中国领土上，他们希望有朝一日，能够为千分之九百九十七的中国，略尽绵薄。我的好友高信疆是有大才干的优秀中国人，他将把他优秀的余生，贡献给千分之九百九十七的中国。
1200年前，韩愈写《送李愿归盘谷序》，写大丈夫人生方向的转折，最后“升高而望远”“终吾生以徜徉”。1200年后，我以超迈古人的新赠序类文体，为信疆一壮行色。前瞻大陆，回首台湾，人生徜徉至此，亦高人哉！",才干需要配得上的舞台,李敖写高信疆归大陆，把小岛与大地的差别写成一种人生选择：人的本领若被狭小环境困住，就会变成无处施展的闷气。人生中不必把熟悉的地方误认成唯一归宿，真正重要的是找到能容纳自己才干、气魄和愿望的舞台；若舞台太小，离开不是背叛，而是让生命恢复比例。,舞台;格局;选择
NBD002,《你笨蛋，你笨蛋》,001.送高信疆归大陆序.txt,送高信疆归大陆序,"我在悼念高信疆先生的长文内谈及，高信疆先生于2010年在台湾跟李敖吃饭，李敖看他气色不对精神不佳，二话不说替他安排健康检查，并亲自把他“押送”到医院，更准备10万元新台币费用，要求院方把高先生当场“收押”，以免他讳疾忌医而逃之夭夭。
高信疆的癌症是李敖逼他检验出来的，治疗失败，高先生大去往生，李敖亦二话不说慨捐墓地，等于在很大程度上负起了他的后事花费。金钱并非代表一切，但如此这般的一而再地二话不说为朋友出钱出力，在金钱背后，不能不说是有着一股热血与一身侠骨，李敖之狂之狷，世人知之久矣，但其侠其勇，却常被世人或有意或无意地忽视淡化，是谓不公不义。
李敖这番侠义行径，在高信疆追思会上，被张大春当众说出来了。",朋友之义在关键时刻兑现,从马家辉回忆李敖替高信疆安排体检、承担费用、乃至捐出墓地，可见真正的友情不是热闹场合的称兄道弟，而是在对方病痛、窘迫、后事难安时主动补位。人生中判断一段关系，不看平日话说得多亲，而看风雨来时谁肯出钱出力、谁能把麻烦接到自己手里。,友情;担当;义气
NBD003,《你笨蛋，你笨蛋》,002.准伤痕文学.txt,准伤痕文学,"邓小平以八个字批评文革以后的“伤痕文学”，八个字是：“哭哭啼啼，没有出息。”为什么“没有出息”？因为“哭哭啼啼”是弱者的表征，强者绝不如此。强者是要据理力争、挺身而斗，强者并不自怜自己的伤口，强者关心小孩子的未来、千千万万小孩子的未来。
拒领诺贝尔文学奖的法国文学家萨特（Jean-Paul Sartre）曾感慨的说，小孩子都快饿死了，文学还有什么意义呢？他指的文学，是弱者的文学，是“哭哭啼啼，没有出息”的文学。
“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他不满政治人物和政党，但对祖国感怀感恩，直到73岁为女人自杀为止，他一辈子是日本人，没有入过其他国籍。
这篇文章写到最后，扯进日本人，实在乏味。赶快做个结论吧。结论是：“伤痕文学”比“准伤痕文学”好得多，“伤痕文学”作者比“准伤痕文学”作者好得多，如此而已。",伤口不能只拿来自怜,李敖反感把伤痕写成哭哭啼啼的姿态，因为真正值得尊敬的受苦，不是把伤口经营成身份，而是从伤口里生出据理力争的行动。人生中遭遇不公，当然可以痛，但痛若只通向自怜，就会把人困在旧创里；痛若通向发声、战斗和保护后来者，伤痕才真正有了尊严。,痛苦;行动;尊严
NBD004,《你笨蛋，你笨蛋》,002.准伤痕文学.txt,准伤痕文学,"邓小平以八个字批评文革以后的“伤痕文学”，八个字是：“哭哭啼啼，没有出息。”为什么“没有出息”？因为“哭哭啼啼”是弱者的表征，强者绝不如此。强者是要据理力争、挺身而斗，强者并不自怜自己的伤口，强者关心小孩子的未来、千千万万小孩子的未来。
拒领诺贝尔文学奖的法国文学家萨特（Jean-Paul Sartre）曾感慨的说，小孩子都快饿死了，文学还有什么意义呢？他指的文学，是弱者的文学，是“哭哭啼啼，没有出息”的文学。
“伤痕文学”尽管没有出息，至少它还与自己成长的泥土结合、与生民同病、与国家共休戚，它并不逃世。但有一种逃世的“准伤痕文学”则不然，这种文学可跑得快，它快速的逃向祖国以外的世界，这种逃世是彻底的。这种文学的作者制造一种假象，是祖国有负于他，事实上，是他吸收了祖国泥土的营养才成长而有今日，我们不清楚他的党是否有负于他，但在祖国动乱时候，他并非独来独往的“独与天地精神往来”的有原则知识分子，相反的，他还是党员，未尝不参与打压异己。这种文学工作者，比起日本的懦种文学家川端康成还不如，川端康成在祖国动乱时吓得噤若寒蝉，勇敢抗争的文学家牺牲了，他却藏在欣赏女人的小世界里，“回到自古以来的悲哀”。他说他悲哀以外，也反抗、也讽刺，方法是在电车上和灯火管制的床上读《源氏物语》，用读书“聊以表示对时势的反抗和讽刺”！我的天！这是哪门子反抗？哪门子讽刺？但没人敢笑川端康成是懦种文学家，因为他得了诺贝尔文学奖。川端康成虽然如此不堪，但他热爱他的祖国，他不满政治人物和政党，但对祖国感怀感恩，直到73岁为女人自杀为止，他一辈子是日本人，没有入过其他国籍。
这篇文章写到最后，扯进日本人，实在乏味。赶快做个结论吧。结论是：“伤痕文学”比“准伤痕文学”好得多，“伤痕文学”作者比“准伤痕文学”作者好得多，如此而已。",别用逃离包装自己的高贵,李敖批评逃世的“准伤痕文学”，提醒人不要一边受土地、生民与国家滋养，一边在责任面前抽身而退。人生中离开某个环境并不可耻，可耻的是把抽离说成高贵，把冷漠装成清醒；真正成熟的人，即使远行，也会承认自己与来处仍有休戚与共的关系。,责任;来处;清醒
NBD005,《你笨蛋，你笨蛋》,003.我写《上山上山爱》.txt,我写《上山上山爱》,"10多年后，国民党政府宣布实行宪政了、自由了。在书报检查方面，说我们不事先检查你们了，改为事后追惩你们了，你们不要乱写啊，乱写了，我们照样可以追着惩罚，你还是逃不掉的。
1949年国民党的中华民国亡国了，它逃掉了，逃到台湾，重组了伪政府，按说既然宣布不事先检查了，理应比对付鲁迅那一时代多点言论自由才是，其实不然。事实上，伪政府暗中施出两种方法来“超鲁迅”。第一种方法是“不检即查法”，例如对李敖的书，根本是本本查禁。换句话说，根本检查都不必了，就查禁了事。所以，从形式上看，检查倒真仿佛取消了呢！只是代替的，不是更多的自由，而是更多的查禁而已。
《上山·上山·爱》虽是我继《北京法源寺》后第二本长篇小说，但两本书的形成，却大异其趣。",看清形式开放里的实质封锁,李敖回顾审查制度从删文章、禁书到“不检即查”的变化，指出表面上不再预审，未必代表真正自由。人生中判断任何规则，也要看实质效果而不是漂亮名词：若权力不说明、不负责，却能随时把成果封杀，所谓开放不过是换了姿势的控制。,自由;规则;洞察
NBD006,《你笨蛋，你笨蛋》,003.我写《上山上山爱》.txt,我写《上山上山爱》,"《上山·上山·爱》虽是我继《北京法源寺》后第二本长篇小说，但两本书的形成，却大异其趣。
不过，17年过去了，那个李敖又来了！不管“大头”“小头”，还一起冒出来了！《上山·上山·爱》4月25日出版之日，因为此书来头大、两头大，必然掀起定位定性的高潮。是“黄色小说”？还是“情色文学”？还是“打开天窗说亮话，脱了裤子谈思想”的中文巨作？都可七嘴八舌、都可议论纷纷。但对构思30多年、最后花40多天一口气把它写完的作者说来，这本小说，却应了我在它扉页写下的十四个字——
根据台湾岛上出版评议基金会的调查，目前每月上市的“黄色小说”，高达360万本。由于《上山·上山·爱》里有不少精致的床上镜头、浴缸镜头和雨中镜头，被人痛恨的李敖，这回有机会被归为“黄色小说”的作家群。但是，“黄色小说”每月360万本了，又何劳大师李敖执笔？把李敖如此定位，未免太小看他的危险性了。",被阻断的作品也可以等来下一次完成,《上山上山爱》未完先禁，十七年后李敖又重写问世，这给人的启发是：外力可以按暂停键，却不能替创作者决定结局。人生中许多计划会被打断、被误解、被搁置，关键不在当时是否顺利，而在你是否保存火种；只要还能重启，挫折就只是作品的一段前史。,创作;坚持;复归
NBD007,《你笨蛋，你笨蛋》,003.我写《上山上山爱》.txt,我写《上山上山爱》,"清者阅之以成圣
浊者见之以为淫
清浊之分，关键何在？《查泰莱夫人的情人》（Lady Chatterley’s Lover）作者劳伦斯（D. H. Lawrence），有篇论文叫《色情与淫秽》（Pornography and Obscenity），对淫与非淫，反复陈词。其实他说得太多了，反不清楚了。事实上，真正的判别方法，乃在读者能不能受小说影响，从而激浊扬清，这就在于小说内容有没有这一功力。《上山·上山·爱》这本小说，涉及的重要主题上百个，发人深省的深度和幅度如此丰富，可谓前无古人，至于后有没有来者，要看我何时死了而定。——我就是我的来者。当我一旦物化，这种小说必成绝响。嵇康被害，广陵散失传；章绛云亡，国故学沦没，生逢浊世，以发清音，海峡两岸，一人而已，读此书后还怪我大言者，非人也！
藏传佛教有“尸陀林主”（Masters of Sitavana），画面是男女骷髅，风月交叉，虽朽为枯骨，但仍能灭敌饮血，以显神通。若论真的“尸陀林主”，非此书莫属。《上山·上山·爱》是真正灭敌饮血的文学，“谈笑间，强虏灰飞烟灭。”“强虏”是谁，读者一看便知。本书虽为情爱秘籍、男女圣经，但是功夫深处，却是“思想挂帅”的智者、强者文学，不想再看娘娘腔文学作品的读者，何妨一读此书，大开眼界也。",不要被表层颜色骗走判断力,李敖用“清者阅之以成圣，浊者见之以为淫”说明作品的价值不能只由表面材料决定。人生中看人看事也是如此，复杂的东西常有外层烟火和内层骨架；若只凭颜色、题材、流言下判决，就会把真正的锋芒误认成低俗，也把自己的浅薄误认成正派。,判断;作品;表象
NBD008,《你笨蛋，你笨蛋》,004.李敖的“淫威”.txt,李敖的“淫威”,"4月25日出版了我继《北京法源寺》后又一长篇小说《上山·上山·爱》，台湾这边，除了登上排行榜第一名并销售一空外，台北市议会传出笑谈，在审查防制青少年《租购出版品自治条例》时，市议员拿出两本新书的影印片段，遮去书名，询问市政府新闻处长金溥聪是否色情作品？金溥聪匆匆看了，说“都是色情”。市议员随即亮出底牌，说一本可是李敖写的。金溥聪立刻改口说：“你不要害我。”“谁都不愿惹李敖。”“我没有说李敖的书情色。”弄得大家笑成一团，李敖的“淫威”，于此可见！
其实，从笑谈观点看，李敖在大陆的“淫威”，远比台湾风光得多。大陆除了冒李敖之名，出版《李敖谈男女》（时代文艺出版社）、《李敖“变脸”三部曲》（陕西旅游出版社）等假书大谈情色外，还现身说法，出版《我为卿狂—李敖的三次惊世婚恋》（北方文艺出版社）等书，也极尽加油加酱胡说八道之能事。光看书名就领教了，我只结过两次婚，何来“三次惊世婚恋”？不过，这类《李敖和他的女人们》（台海出版社）的书，还算客气的，比起《和李敖一起疯狂》（内蒙古文化出版社）一类的书来，你就恍然大悟了。
我在美国的好友陈兆基，一天打电话来，说你李敖可不得了啦，你在大陆变成“西门庆”啦！我笑问怎么回事？他说大陆出了一本《和李敖一起疯狂》的书，乱写一通，把你写成了一个大淫虫、大淫棍啦，我寄给你见识见识，认识你老兄几十年，没想到你居然变成了“西门庆”！
前几天陈兆基把书寄来了，我翻了两页，果然是西门大官人无误，我掩卷一笑，想起一个故事。
去年我跟《联合报》社长张作锦吃饭，他半真半假的说：“李敖兄，多少年来，我们一直以为你是‘匪谍’，现在承认我们错了，——你不是‘匪谍’，你根本就是‘匪’！”我听了大笑。如今，看了真正的匪夷所思的匪货，我想张作锦会改口了：“李敖兄，我们一直以为你是破除迷信的‘西门豹’，现在承认我们错了，——你不是‘西门豹’，君子豹变，原来你是‘西门庆’！”",名声被扭曲时要守住自己的版本,李敖面对被盗名、被误写、被污名化，常用反讽和幽默把对方的荒唐照出来。人生中名声并不完全由自己掌控，别人会借用、篡改、夸张甚至栽赃；但人仍要靠作品、事实和机智守住自己的版本，不能把解释权拱手让给噪音。,名声;幽默;自守
NBD009,《你笨蛋，你笨蛋》,005.分个第一给她.txt,分个第一给她,"英文谚语中有的是不合文法的，像Diamond cut diamond就是一例，其中cut后面不加s，成何体统？瑞士学者斯超曼（Heinrich Straumann）予以分析，说这是block language（类聚语言），前面的字与后面的字并无文法上的关系，只在意思表示时送做堆而已。
Diamond是金刚钻、是钻石，其硬可知，Diamond cut diamond意思是旗鼓相当、是势均力敌、是棋逢敌手、是强中更有强中手。我生平以金刚钻自许，坚信自己的长处像钻石一样，多面发光，不过，其中两面，在陈文茜面前，我未免要有 Diamond cut diamond 的沮丧。
哪两面呢？一面是文采，一面是口才。
古人说“言语妙天下”，陈文茜的口才可说前无古人，大家都推服无间。陈文茜以“言语妙天下”出道，她的光环，也因此被锁定，大家称道她的口才，有点忽略她的文采，一如李敖以文章出道，大家称道李敖的文采，有点忽略他的口才一样。事实上，陈文茜文采也是“妙天下”的，赞美她的文采，有四个字最恰当，就是“精、灵、鬼、怪”，在陈文茜笔下，构思之精、比喻之灵、布局之鬼、运作之怪，都是中国独步的，中文在她手里、国语在她口里，都是Diamond一波未平、Diamond一波又起的，被称为“媒体霸权”的陈文茜如此波霸，岂不名至实归吗？
名至实归如此，却也别有用心之处，那就是陈文茜口诛笔伐中的例证，往往都离不开台湾这个小岛，这是她的无奈，因为你不就地取材，你就争不到一时，也争不到千秋。但陈文茜显然查觉及此，因此在“妙天下”的同时，她不时从小岛朝世界带，要岛民放眼世界，这种作风，是典型的“借题发挥”。39年前，胡适先生死前一个月，对李敖有所评论，他说李敖“喜欢借题发挥”，说“作文章切莫要借题发挥”。胡适先生能够一眼看出李敖喜欢“借题发挥”，是他老先生的高明处，但他把“喜欢借题发挥”看成一种大忌，却是大错特错。试看他在1930年写《介绍我自己的思想》，辩护他为什么要考证《红楼梦》，曾说考证《红楼梦》只是“消极”的目的，他别有“积极”的目的，那就是借小说考证来“教人一个思想学问的方法”，教人不要“被人蒙着眼睛牵着鼻子走。”考证《红楼梦》是本题，是“消极”的；考证以外“借题发挥”的题外有题，才是“积极”的。这样“借题发挥”起来，陈文茜和李敖纵Diamond加Diamond，也无法不借小岛之题，以为朝世界发挥的张本，虽然小岛对我们是这么小，我们连小题大做，都不无“与子偕小”之憾也。
三个月前后开了两次刀，体力稍差，不能为长文赞美陈文茜，就此打住。临文之末，我想起《南齐书》中的一个故事。《南齐书》说齐太祖萧道成喜欢写毛笔字，与大臣王僧虔比赛谁写得好。写完了，问王僧虔“谁为第一”？王僧虔又滑头又说了真话，他说：“臣书第一，陛下亦第一。”为什么两个第一？因为王僧虔提出两个检定标准，一个是大臣级的，一个是帝王级的，以大臣级的标准看，我是第一；以帝王级的标准看，你皇上是第一。我不把自己列为与你同级的，所以我第一你也第一。
如今，Diamond 为什么要 cut 另一个 Diamond 呢？不必如此、何必如此？我李敖愿意让步，分个第一给陈文茜。谈到文采和口才，李敖是男人中第一，陈文茜是女人中第一，不就得了？两人中除非一人变性，永不发生“谁为第一”的问题。分个第一给她，这是我两次开刀后的新度量，总不至于第三次开刀做变性手术吧？",强者不必把所有第一攥在手里,李敖承认陈文茜在文采、口才上有使他沮丧之处，并愿意“分个第一给她”，这比自夸更显出强者的余裕。人生中真正有分量的人，不需要靠否认别人来保全自己；承认别人胜出，反而说明自己有足够的底气，不把尊严建立在独占掌声上。,度量;竞争;承认
NBD010,《你笨蛋，你笨蛋》,005.分个第一给她.txt,分个第一给她,"英文谚语中有的是不合文法的，像Diamond cut diamond就是一例，其中cut后面不加s，成何体统？瑞士学者斯超曼（Heinrich Straumann）予以分析，说这是block language（类聚语言），前面的字与后面的字并无文法上的关系，只在意思表示时送做堆而已。
Diamond是金刚钻、是钻石，其硬可知，Diamond cut diamond意思是旗鼓相当、是势均力敌、是棋逢敌手、是强中更有强中手。我生平以金刚钻自许，坚信自己的长处像钻石一样，多面发光，不过，其中两面，在陈文茜面前，我未免要有 Diamond cut diamond 的沮丧。
哪两面呢？一面是文采，一面是口才。
古人说“言语妙天下”，陈文茜的口才可说前无古人，大家都推服无间。陈文茜以“言语妙天下”出道，她的光环，也因此被锁定，大家称道她的口才，有点忽略她的文采，一如李敖以文章出道，大家称道李敖的文采，有点忽略他的口才一样。事实上，陈文茜文采也是“妙天下”的，赞美她的文采，有四个字最恰当，就是“精、灵、鬼、怪”，在陈文茜笔下，构思之精、比喻之灵、布局之鬼、运作之怪，都是中国独步的，中文在她手里、国语在她口里，都是Diamond一波未平、Diamond一波又起的，被称为“媒体霸权”的陈文茜如此波霸，岂不名至实归吗？
名至实归如此，却也别有用心之处，那就是陈文茜口诛笔伐中的例证，往往都离不开台湾这个小岛，这是她的无奈，因为你不就地取材，你就争不到一时，也争不到千秋。但陈文茜显然查觉及此，因此在“妙天下”的同时，她不时从小岛朝世界带，要岛民放眼世界，这种作风，是典型的“借题发挥”。39年前，胡适先生死前一个月，对李敖有所评论，他说李敖“喜欢借题发挥”，说“作文章切莫要借题发挥”。胡适先生能够一眼看出李敖喜欢“借题发挥”，是他老先生的高明处，但他把“喜欢借题发挥”看成一种大忌，却是大错特错。试看他在1930年写《介绍我自己的思想》，辩护他为什么要考证《红楼梦》，曾说考证《红楼梦》只是“消极”的目的，他别有“积极”的目的，那就是借小说考证来“教人一个思想学问的方法”，教人不要“被人蒙着眼睛牵着鼻子走。”考证《红楼梦》是本题，是“消极”的；考证以外“借题发挥”的题外有题，才是“积极”的。这样“借题发挥”起来，陈文茜和李敖纵Diamond加Diamond，也无法不借小岛之题，以为朝世界发挥的张本，虽然小岛对我们是这么小，我们连小题大做，都不无“与子偕小”之憾也。
三个月前后开了两次刀，体力稍差，不能为长文赞美陈文茜，就此打住。临文之末，我想起《南齐书》中的一个故事。《南齐书》说齐太祖萧道成喜欢写毛笔字，与大臣王僧虔比赛谁写得好。写完了，问王僧虔“谁为第一”？王僧虔又滑头又说了真话，他说：“臣书第一，陛下亦第一。”为什么两个第一？因为王僧虔提出两个检定标准，一个是大臣级的，一个是帝王级的，以大臣级的标准看，我是第一；以帝王级的标准看，你皇上是第一。我不把自己列为与你同级的，所以我第一你也第一。
如今，Diamond 为什么要 cut 另一个 Diamond 呢？不必如此、何必如此？我李敖愿意让步，分个第一给陈文茜。谈到文采和口才，李敖是男人中第一，陈文茜是女人中第一，不就得了？两人中除非一人变性，永不发生“谁为第一”的问题。分个第一给她，这是我两次开刀后的新度量，总不至于第三次开刀做变性手术吧？",借题发挥可以成为传授方法,李敖替“借题发挥”辩护，说胡适借《红楼梦》考证教人思想方法，题目只是入口，真正要紧的是把人带到更大的理解里。人生中做学问、写文章或谈问题，不必死守表面题目；只要发挥能打开方法、训练判断、扩展眼界，它就不是跑题，而是把题目用活。,方法;写作;思想
