id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
DYLRDJJ001,第一流人的境界,001.狮子的道路.txt,狮子的道路,关怀别人的委屈，能稀释自己的委屈,李敖借狮子怕鸡、大象怕蚊子的寓言说，人在条件很好时也会被小缺陷困住，越叫自己别怕，越会陷进强迫观念。人生里有些烦恼不是靠自我说服化解，而是靠把目光移到别人的痛苦上；当你认真听见别人的委屈，自己的愁云惨雾往往会缩小，关怀别人也就成了救自己的道路。,痛苦;关怀;自我调适
DYLRDJJ002,第一流人的境界,002.第一流人的境界.txt,第一流人的境界,要做第一流的事，就不能过凡夫俗子的生活,李敖认为第一流的人必须放弃或减少普通人的快乐、交游、娱乐、爱恨和答辩，因为他的生命要完成许多第一流的事。人生里想要非常成果，就不能老要求普通生活的安逸补偿；高目标不是口号，它会改写你的日程、关系、反应和忍耐方式。,志向;代价;生活方式
DYLRDJJ003,第一流人的境界,003.论传奇人物.txt,论传奇人物,传奇人物不会被一个固定角色钉死,李敖写传奇人物像生命力跑野马，书生、军人、怪杰、作家、商人、浪子、隐士都可能只是阶段。人生里不要太早把自己钉在一个单薄角色上；真正旺盛的生命会吸收不同遭际，把各种身份都炼成经验，而不是被名片、职业或别人期待限制住。,生命力;角色;成长
DYLRDJJ004,第一流人的境界,003.论传奇人物.txt,论传奇人物,不安于环境，有时是生命力在寻找新教育,李敖说传奇人物不安于环境，要找新的环境浪迹人生，并把任何遭际化为教育与磨练。人生里稳定不是唯一美德，若一个环境已经不能教育你，只是在重复你，就要警惕自己被安稳驯化；换环境不是逃避，可能是给生命力换一所学校。,环境;历练;生命力
DYLRDJJ005,第一流人的境界,004.好斗杂感.txt,好斗杂感,斗志不只为大目标，也体现在每次不退却,李敖说好斗的人重点不在目标大小，而在时时处处发扬斗的精神，做一个战士。人生里有些人的力量不来自一次宏大胜利，而来自日常里不放弃、不退场、不把失败当终点；斗志若只等大场面才出现，就还不是性格，只是表演。,斗志;性格;坚持
DYLRDJJ006,第一流人的境界,005.“通身是手眼”.txt,“通身是手眼”,人看不见自己时，要借外物把自己叫醒,李敖从“通身是眼，不见自己”谈到自力的极限：人全身都是眼，也可能看不见自己。人生里自知不能只靠内省，因为内省也会护短、含糊和绕圈；有时要借别人的反应、外界的刺痛和难堪的镜子，才能知道自己究竟像什么。,自知;反省;外部反馈
DYLRDJJ007,第一流人的境界,006.论“真金不怕火炼”.txt,论“真金不怕火炼”,不是所有关系都该拿火去炼,李敖在《耳中人》中说，真金固然不怕火炼，但一般人太脆弱，不炼倒更仁慈；许多人若没遇到极端考验，漂亮也会一直漂亮下去。人生里不要迷信“考验感情”“逼出真相”，有些善意和关系本来就靠平常维持，硬拿灾难去试，只会让世界多一批褪色的人。,关系;仁慈;考验
DYLRDJJ008,第一流人的境界,006.论“真金不怕火炼”.txt,论“真金不怕火炼”,判断一个人，最后要看表现出来的事实,李敖说一个人证明自己，除了靠表现出来的，没有别的法子；心里想的、口上答应的，都要用事实证明才算。人生里动机、保证、理由和解释都只能做参考，真正能落地的是已经生出来的“孩子”：作品、行动、结果和承担。没有事实，承诺再响也只是空声。,事实;行动;判断
DYLRDJJ009,第一流人的境界,007.对敌人的道德.txt,对敌人的道德,道德也会老去，活在书里不等于活在世上,李敖谈“对敌人的道德”，指出许多古典道德像活古董，仍在书中，却已与现实同时而不同代。人生里读到高贵旧德，不能只感动，还要看它在现实规则中是否仍能运作；若世风已改，你既要守住自己的标准，也要知道别人未必按同一标准行事。,道德;现实;清醒
DYLRDJJ010,第一流人的境界,007.对敌人的道德.txt,对敌人的道德,看破道德变迁，不等于自己也要变坏,李敖说现代为了增加效果，许多有情味的道德项目被杀死，但他又说自己有旧道德，是成功的道德家。人生里看穿现实的冷酷，不必自动投降给冷酷；清醒是知道别人会怎样做，操守是决定自己不一定照那样做。能同时看透和坚持，才是真本事。,操守;现实;道德
