id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
WWRJ001,《李敖五五日记》,001.1990年4月.txt,1990年4月,用清明轻快定稿检验一天,李敖在五十五岁生日重订计划，把每天的着力点放在清明、轻快和定稿上。清明是头脑不乱，轻快是心境不滞，定稿是成果可验。人生最怕忙得有声有色却没有定稿、没有收成；能把精神状态和实际产出一起拿来检验，一天才不只是过去，而是被自己真正用过。,自我管理;写作;时间纪律
WWRJ002,《李敖五五日记》,001.1990年4月.txt,1990年4月,最该做的事必须回到主位,李敖提醒自己，最该写的是“本”，若做了次要的事而耽误主要的事，就是忘本。人生里很多失误不是因为懒，而是因为把精力耗在看似有用、其实不居主位的事务上。关键时刻要能察觉偏离，并把自己拉回来；能回主位的人，才不会被勤奋带到旁门去。,主次;专注;自我警醒
WWRJ003,《李敖五五日记》,001.1990年4月.txt,1990年4月,雄心要落成每天下限,他把定稿设为每天二千字下限，并拆成几类工作推进，显示真正的雄心必须能被日课承接。目标若只停在愿望，最容易被情绪和杂事冲散；一旦落成可计算、可执行、可验收的下限，宏愿才有了骨架。人生的长期成就，往往来自这种不浪漫却可靠的每日结账。,目标拆解;写作;执行
WWRJ004,《李敖五五日记》,001.1990年4月.txt,1990年4月,理想事业也要面对成本,李敖谈出版时指出，作者包销不近情理，出版社一赔再赔也不近情理。做文化、做理想，不能只讲情怀，也要看读者、稿费、版税和风险的现实结构。真正成熟的合作，是双方都不把自己的困难转嫁给对方；理想若没有公平的成本意识，最后会把好人也逼成怨人。,合作;出版;现实感
WWRJ005,《李敖五五日记》,001.1990年4月.txt,1990年4月,别把修行变成逃避此生,他批评有人抛弃学业和现实责任，把一切希望寄托在来生与打坐幻境中。精神追求若使人更清醒、更能承担，才有意义；若让人逃开父母、工作、学术和今生的义务，就只是披着修行外衣的退缩。人生的超越不该以放弃此生为代价。,现实责任;精神追求;清醒
WWRJ006,《李敖五五日记》,002.1990年5月.txt,1990年5月,随地开工就是勤奋的真相,李敖去银行开户，等待存折时就摊开资料靠着柜台工作。他的勤奋不是等书房安静、条件齐备才开始，而是任何空档都能立刻进入状态。真正会做事的人，把工作带在身上，也把起跑线移到当下；环境不完美时仍能推进，才是勤奋最硬的部分。,勤奋;碎片时间;工作状态
WWRJ007,《李敖五五日记》,002.1990年5月.txt,1990年5月,标题和思路都不能染上套腔,他否决别人拟的讲题，认为那种句型和思路受了坏文体影响。表达不是表面包装，它会反过来塑造思想；一旦习惯套腔，人就会用现成姿势冒充独立思考。人生中说话、写作、命名都要警惕流行腔调，宁可朴直准确，也不要漂亮地失去自己。,表达;独立思考;反套腔
WWRJ008,《李敖五五日记》,002.1990年5月.txt,1990年5月,有限时力先要决定去取,李敖越发感到每天能定稿的时力有限，因此必须先慎重选择，不该做的事、不值得写的文一律拒绝。时间管理的核心不是把每件事塞进日程，而是承认生命力有限，并让拒绝成为选择的一部分。能说“不”，才有余力把真正值得的事做成。,取舍;时间管理;拒绝
WWRJ009,《李敖五五日记》,003.1990年6月.txt,1990年6月,人事一误定稿就该躲开,他提醒自己要维护定稿标准，因为人事最容易耽误定稿，能躲就躲。许多消耗不以坏事面目出现，而是以饭局、关系、讨论、情面来夺走成果。人生要有一条硬线：凡是持续损害主业产出的人事，就不必逞能应付；躲开不是冷漠，是守住自己该完成的东西。,边界;定稿;人事
WWRJ010,《李敖五五日记》,003.1990年6月.txt,1990年6月,喧事会夺走一整天生命,李敖记下一日被喧事夺主，主力工作一篇未成。一天看似很长，真正能沉入核心工作的时段却很脆弱；杂事一吵，生命就被拆成碎片。所谓惜时，不只是少玩一点，而是保护主力工作的完整性，让一天至少有一块没有被喧嚣占领。,专注;惜时;工作秩序
