id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LAZLZY001,李敖政论综艺集,001.19910105《今夜星光》.txt,19910105《今夜星光》,读书要加上自己的思考,李敖说自己影响多从书中来，但没有变成书呆子，关键在于会看书、会加上自己的思考。人生读书不是把别人的句子搬进脑袋，而是借书训练判断；没有自己的消化，再多书也只是堆在身上的重量。,读书;思考;判断
LAZLZY002,李敖政论综艺集,001.19910105《今夜星光》.txt,19910105《今夜星光》,为了真理可以不那么随和,他谈年纪越大反而越不随和，背后是“当仁不让于师”的真理观。人生若只追求好相处，很容易把是非磨平；真正重要的事面前，保留一点不随和，常是保留判断力的代价。,真理;处世;原则
LAZLZY003,李敖政论综艺集,001.19910105《今夜星光》.txt,19910105《今夜星光》,不要把生命力耗在低价值题目上,李敖说自己写了许多被查禁的书，却没有文章专门谈吃，因为觉得那是浪费。人生的表达和时间有限，不能什么都写、什么都追；越有能力的人，越要把力气放到能改变观念和处境的题目上。,时间;写作;取舍
LAZLZY004,李敖政论综艺集,002.1997《台北ZOO》.txt,1997《台北ZOO》,读活书，不读死书,李敖说自己看书多，却能把书看活，而不是读死书。人生读书最怕被书牵着走，读成僵硬的引用者；真正的读书，是让材料进入现实问题，变成能判断、能反击、能创造的活工具。,读书;方法;活用
LAZLZY005,李敖政论综艺集,002.1997《台北ZOO》.txt,1997《台北ZOO》,有力量的表达要让人记住,他说自己用“前三名都是李敖”这种说法，不只是自夸，而是中文表达的推力，让听者被连续撞击。人生表达观点，不能只求平淡准确；有时要设计节奏、重复和力度，让关键意思被人记住。,表达;修辞;影响力
LAZLZY006,李敖政论综艺集,002.1997《台北ZOO》.txt,1997《台北ZOO》,别急着给自己找一个中心思想,面对“你到底为什么而反”的追问，李敖说中心思想本身可能就是错误设定。人生不必把自己装进一个固定口号；真正成熟的判断，往往是在具体问题上坚持原则，而不是永远重复同一套标签。,思想;标签;判断
LAZLZY007,李敖政论综艺集,002.1997《台北ZOO》.txt,1997《台北ZOO》,自信可以是一种文字策略,他承认某些自我评价有夸张成分，但强调那是表达法和文字技巧。人生展示能力时，不必总是假装谦卑；只要有作品和本领托底，自信可以成为让别人注意事实的策略。,自信;表达;作品
LAZLZY008,李敖政论综艺集,003.1997《真情指数》.txt,1997《真情指数》,资料分类要服务自己的问题,李敖的书房分类细到别人想不到，因为他不是按图书馆规则，而是按自己的问题意识收集材料。人生做研究和学习，最重要的不是资料多，而是分类能不能让你在需要时调出证据。,资料;分类;研究
LAZLZY009,李敖政论综艺集,003.1997《真情指数》.txt,1997《真情指数》,真正的知音要有开门的胆量,东吴校长请李敖任教，让他感到学问终于被学术殿堂承认，关键在对方有胆量和肚量。人生遇到被制度排斥的人才，不只要欣赏，还要敢开门；没有行动的赞美，不算知音。,知音;胆量;机会
LAZLZY010,李敖政论综艺集,003.1997《真情指数》.txt,1997《真情指数》,材料库是为了形成自己的单元,他把许多观念和案例拼成一个个单元，用来分析社会上的错误思想。人生学习不能停在零散摘抄；要把材料组织成可反复调用的单元，才会从记忆变成判断系统。,材料;系统;判断
LAZLZY011,李敖政论综艺集,004.1998《关于男人》.txt,1998《关于男人》,身体问题要坦白，不要羞耻化,李敖在谈身体和年龄时故意坦白，是要把不能告人的羞耻拿到阳光下。人生面对身体、欲望和衰老，不必靠遮掩维持体面；越能正面讨论，越有机会找到方法和尊严。,身体;坦白;尊严
LAZLZY012,李敖政论综艺集,004.1998《关于男人》.txt,1998《关于男人》,年龄变了，经营方法也要变,节目谈到人的身体能力会随年纪改变，李敖也承认阶段不同，关心点不同。人生不能拿青年时的标准硬套到老年，也不能用旧方法解决新问题；看见变化，调整经营方式，本身就是清醒。,年龄;调整;清醒
LAZLZY013,李敖政论综艺集,004.1998《关于男人》.txt,1998《关于男人》,光风霁月不是没有欲望，而是没有遮掩,李敖说自己没有什么不能告人的事，这种坦白不是否认欲望，而是不把真实生活伪装成圣人样子。人生的干净，不在于没有复杂面，而在于愿意承认事实、承担后果，不靠假装高洁过关。,坦白;人格;真实
LAZLZY014,李敖政论综艺集,070.20060313《桃色蛋白质》.txt,20060313《桃色蛋白质》,困境中先管住会传染的情绪,他谈坐牢时不许同房人哭，因为情绪会传染，弱者姿态会拖垮整间屋子。人生在低谷里，不是不能悲伤，而是要知道情绪有公共后果；先稳住自己，也是替周围人留一口气。,情绪;困境;自控
LAZLZY015,李敖政论综艺集,070.20060313《桃色蛋白质》.txt,20060313《桃色蛋白质》,不要让敌人借你的苦恼再赢一次,李敖说敌人使你苦恼，你若继续替它苦恼，就是帮敌人折磨自己。人生面对伤害，最要紧的是切断二次伤害；对方已经打了你一次，你不必在心里天天替他补刀。,痛苦;敌意;自救
LAZLZY016,李敖政论综艺集,070.20060313《桃色蛋白质》.txt,20060313《桃色蛋白质》,被关住也要准备出门后的作品,他讲自己在狱中写作，一出狱就把材料公开。人生被限制时，不一定只能等待；把不能立刻发表的思考继续做下去，等门一开，就用作品证明时间没有白耗。,写作;限制;准备
LAZLZY017,李敖政论综艺集,070.20060313《桃色蛋白质》.txt,20060313《桃色蛋白质》,交叉阅读能让专题一次解决,他说自己不是一本看完再看一本，而是把多本书排开、互相穿插，印象更深。人生处理复杂问题，要学会并行比较；材料之间互相照亮，比单线读完更容易找到结构。,读书方法;比较;专题
LAZLZY018,李敖政论综艺集,137.20110918《文化大观园》.txt,20110918《文化大观园》,能忍受单调，是高级工作能力,他习惯六天六夜独处，看书、写作，不觉得忧愁。人生很多成果来自单调时段，不来自热闹场合；能在安静、重复、少反馈的日子里继续工作，是一种难得的硬本领。,孤独;工作;耐力
LAZLZY019,李敖政论综艺集,071.20060404《爱上九点半》.txt,20060404《爱上九点半》,和组织对抗前先知道会吃亏,李敖从选举经验谈到一个人对抗组织会吃亏。人生选择独来独往不是浪漫姿态，它会缺资源、缺宣传、缺保护；先知道代价，才不会把独立误会成轻松的漂亮话。,独立;组织;代价
LAZLZY020,李敖政论综艺集,071.20060404《爱上九点半》.txt,20060404《爱上九点半》,感觉可以制造，不必全等真实现场,他谈写歌写文章时说人的感觉可以制造，苏东坡去错赤壁也能写出古战场感。人生创作不必被亲历绑死；只要想象、知识和形式足够，间接经验也能转化成真实感染力。,创作;想象;经验
