id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LDH001,李登辉的真面目,《李登辉的真面目》引言.txt,《李登辉的真面目》引言,别把旧压迫的继承人误认成救星,李敖在引言里提醒，苦蒋家、苦国民党久了，不等于新出来的人和党就天然代表真正民主。人生遭遇旧压迫后，最容易把任何反旧者都看成救星；成熟的判断，是看他继承了什么结构、使用什么手段，而不是只看他站在谁的反面。,识人;反幻觉;结构
LDH002,李登辉的真面目,《李登辉的真面目》引言.txt,《李登辉的真面目》引言,小人物一旦接上权力，也有警世价值,李敖说李登辉在思想家和历史家眼中本不值得写，却因权力位置而成了可观察的样板。人生看人不必只看伟大人物；一个平庸者被制度推到高位后，暴露出来的投机、遮掩和祸害，常更能提醒我们权力怎样放大人的弱点。,权力;警世;样板
LDH003,李登辉的真面目,《李登辉的真面目》引言.txt,《李登辉的真面目》引言,批评要打到要害，不要只发泄情绪,李敖在引言里说，捧李登辉者固然可笑，骂他而骂不到痒处也难免可笑。人生批评一个人或一件事，不能只满足于站队和痛骂；若没有抓住证据、结构和关键责任，声音再响也只是情绪表演。,批评;证据;要害
LDH004,李登辉的真面目,001.共产党李登辉出卖同志的官方证据.txt,001.共产党李登辉出卖同志的官方证据,靠出卖换前程，债会跟着职位变大,李敖从官方案卷里追问李登辉何以能过关、晋身，核心不在简单骂人，而在指出前程可能建立在出卖同伴上。人生改变立场未必可耻，但若靠交出别人换取自己的安全和上升，眼前也许过关，背后的道德债会跟着职位一起变大。,变节;前程;道德债
LDH005,李登辉的真面目,001.共产党李登辉出卖同志的官方证据.txt,001.共产党李登辉出卖同志的官方证据,权力要听报告时，先问它真正想要什么,李敖判断，若李登辉向蒋经国报告经历，权力不会满足于漂亮故事，而会追究组织细节和可交换的情报。人生面对权力面前的自白，不要只听他说了什么，要问对方为什么愿意接纳、他交出了什么、谁因此付出代价。,权力;交换;自白
LDH006,李登辉的真面目,001.共产党李登辉出卖同志的官方证据.txt,001.共产党李登辉出卖同志的官方证据,行政程序常会泄露人情包装后的真相,李敖从情治调查、档案呈报和法律解释三方面推断隐情，说明真相常藏在程序能否说得通里。人生判断复杂事件，不只看当事人自述，也要看程序是否跳过常理；能在严密系统中破例通关，往往说明背后另有交换。,程序;真相;破例
LDH007,李登辉的真面目,002.“李登辉并无共党背景”吗？.txt,002.“李登辉并无共党背景”吗？,反驳别人，先分清证据层级,面对谷正文反驳，李敖把官方文书、间接传闻、个人记忆分层比较。人生争论时，不能把所有说法摆成同等重量；档案、程序、亲历回忆、二手转述各有可靠度，分清层级，争论才不会变成各说各话。,证据;争论;层级
LDH008,李登辉的真面目,002.“李登辉并无共党背景”吗？.txt,002.“李登辉并无共党背景”吗？,亲历者也会被时间偷走记忆,李敖质疑谷正文隔四十年仍能记清一个小人物的细节，并非否定经验，而是提醒经验也有保存期限。人生尊重老资格和亲历者，但不能把资历当成绝对证明；时间越久、事情越多，越要靠文件和交叉证据校正记忆。,记忆;经验;求证
LDH009,李登辉的真面目,002.“李登辉并无共党背景”吗？.txt,002.“李登辉并无共党背景”吗？,没有成见，才有资格继续怀疑,李敖说自己欢迎足够证据澄清李登辉问题，但谷正文的证据尚难令人心服。人生的怀疑若只为证明自己早对，就会变成偏见；真正有力量的怀疑，是愿意接受反证，同时不被薄弱证词轻易收买。,怀疑;反证;成见
LDH010,李登辉的真面目,002.“李登辉并无共党背景”吗？.txt,002.“李登辉并无共党背景”吗？,即使个案被推翻，也可能照出制度问题,李敖说若李登辉确曾因同名误抓而受牢狱之灾，反而更能说明台湾特务恐怖。人生看一个争议，不必只在输赢中打转；有时一条解释不成立，另一条解释仍会暴露更大的制度病灶。,制度;冤案;洞察
