id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
JJSYJWJ001,蒋介石研究五集,《蒋介石研究五集》自序.txt,《蒋介石研究五集》自序,禁制换名目时要看实质,自序写到戒严解除后，查禁李敖作品的名目从戒严办法转到出版法和警察查扣，形式变了，压制仍在。人生里遇到制度或人际中的限制，不要被新名词迷惑；真正要辨认的，是它是否仍在阻止你说真话、做正事。,自由;判断;实质
JJSYJWJ002,蒋介石研究五集,《蒋介石研究五集》自序.txt,《蒋介石研究五集》自序,前台动作背后要找发令文件,李敖不是只停在警察查扣现场，而是顺着作业查到新闻局密函。人生里遇到不公，不要只和执行窗口消耗情绪；前台动作常只是症状，发令文件、授权链和利益来源，才是责任真正开始的位置。,追责;文件;源头
JJSYJWJ003,蒋介石研究五集,《蒋介石研究五集》自序.txt,《蒋介石研究五集》自序,被压制时继续产出,自序说前几集接连被查禁，李敖却立刻加出第五集作为回应。人生里有些压制无法当场解除，但可以用持续产出夺回主动；对方要你沉默，你仍把材料、判断和作品摆出来，就是最清醒的反击。,坚持;创作;主动
JJSYJWJ004,蒋介石研究五集,001.蒋介石在现场救孙中山？.txt,001.蒋介石在现场救孙中山？,夸大到现场就露出破绽,新传记甚至写成蒋介石在叛变前三小时已经在广州救孙中山，反而暴露年代和地点无法相合。人生里越是神奇的功劳越要查证；故事太圆满，常常不是事实圆满，而是编法过火。,查证;夸大;清醒
JJSYJWJ005,蒋介石研究五集,002.为《蒋总统秘录》歪曲历史指谬.txt,002.为《蒋总统秘录》歪曲历史指谬,抹杀与丑化常成套出现,本章说权力叙事对异己常一面抹掉功劳，一面加上罪名，十九路军即是例子。人生里遇到某人被长期贬低，不要只看罪状，也要查他被删掉的贡献；真正的操弄，常在删与骂之间配合完成。,公道;识人;宣传
JJSYJWJ006,蒋介石研究五集,002.为《蒋总统秘录》歪曲历史指谬.txt,002.为《蒋总统秘录》歪曲历史指谬,空口指挥不是实际支援,《秘录》把蒋介石的指示写得神机妙算，李敖却指出前线缺兵缺车，指示只是空谈配备。人生里管理和领导不能只靠一句“应该”；没有资源、人员和时间的支持，命令再漂亮也只是把责任推给执行者。,领导;资源;责任
JJSYJWJ007,蒋介石研究五集,002.为《蒋总统秘录》歪曲历史指谬.txt,002.为《蒋总统秘录》歪曲历史指谬,失势者的记录要重新读到,本章用战斗要报和回忆录反证第五军并未被十九路军放鸽子。人生里当一个失势者被说成过错来源时，尤其要把旧记录重新读到；强者的话容易流传，弱者留下的文件常在沉默多年后才替他说话。,失势者;记录;公正
JJSYJWJ008,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,同阵营材料也会互相漏风,李敖从张其昀、董显光、陈立夫等公开材料之间的矛盾，推出国共早有接触。人生里不要以为同阵营文字就会永远配合无缝；写作时间、身份和场合一变，公开材料也会彼此漏风。,公开材料;矛盾;洞察
JJSYJWJ009,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,暗线会改写明面因果,本章揭出蒋介石明面剿共、暗中谈判的双线，使西安事变的因果不再简单。人生里看一件事，不要只看台面上的动作；暗线、私下谈判和已达成的默契，往往才决定事件的真实方向。,暗线;因果;判断
JJSYJWJ010,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,信息时差会制造悲剧,张学良以为自己在国共之间搭桥，却不知道国民党早已秘密搭线。人生里热心行动前，要先确认自己掌握的是不是全局信息；少一层信息，善意也可能走成悲剧。,信息;行动;悲剧
JJSYJWJ011,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,忠诚不能替代知情权,张学良在职务与家仇国难之间挣扎，却被关键秘密排除在外。人生里组织要求忠诚，却不让当事人知道关键事实时，忠诚就会变成被利用的工具；真正的承担，必须配得上知情。,忠诚;知情;组织
JJSYJWJ012,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,做桥的人也可能被桥压住,张学良想做国共合作的桥，结果在三方关系里最先出局。人生里调停冲突或替人接线时，要估量自己是否有足够位置和保障；没有控制权的中间人，最容易承担两边的后果。,调停;位置;风险
JJSYJWJ013,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,远方决定常改写现场热情,西安事变后，中共内部一度激烈，莫斯科电令却立刻改变方向。人生里现场情绪再高，也可能被远方权力一纸命令重写；判断大局，要看谁拥有最后拍板权，不要只听现场口号。,大局;权力;冷静
JJSYJWJ014,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,讨价还价前先看大前提,本章说莫斯科意见成为大前提后，西安谈判只剩技术上的讨价还价。人生里进入谈判前，要先辨认哪些条件已经被更高层决定；在不可改的大前提里争细节，才不会误判自己的筹码。,谈判;前提;筹码
JJSYJWJ015,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,把风险带回去不能只靠担保,张学良亲送蒋介石回南京，自认有担保和义务，最后却长期失去自由。人生里承担重大风险时，不要只靠口头善意和人格信任；没有可执行的保障，光明磊落也可能落入别人的安排。,风险;信任;保障
JJSYJWJ016,蒋介石研究五集,003.蒋介石与张学良之一.txt,003.蒋介石与张学良之一,闲置人才也是战略损失,李敖引李金洲等意见，指出张学良长期被关，使东北接收与政治号召失去可能。人生里处理有争议的人才，不能只按恩怨封存；当大局需要他的经验和号召力时，闲置本身就是损失。,人才;大局;用人
JJSYJWJ017,蒋介石研究五集,004.蒋介石与张学良之二.txt,004.蒋介石与张学良之二,主动接触别被后来叙事倒置,本章强调周恩来信背后，是蒋介石方面主动寻找接触线索，后来却被写成别人来敲门。人生里判断合作和冲突，要查谁先动作；主动权一被倒置，责任和动机都会跟着变形。,主动权;叙事;事实
JJSYJWJ018,蒋介石研究五集,005.蒋介石与张学良之三.txt,005.蒋介石与张学良之三,不要让一人独背集体决定,本章借九一八不抵抗问题指出，把责任全压到张学良身上并不公道。人生里看重大错误，要分清个人执行、上级方针和制度环境；让一个人独背集体决定，是最省事也最不诚实的做法。,责任;公道;组织
JJSYJWJ019,蒋介石研究五集,005.蒋介石与张学良之三.txt,005.蒋介石与张学良之三,有证据却不能公开是人生悲剧,张学良说自己有充分证据，却因处境无法公开。人生里最痛的委屈之一，是真相在手而不能发声；所以平时要重视记录、备份和表达通道，让事实有出口，不要等被困住才发现无处申辩。,证据;表达;委屈
JJSYJWJ020,蒋介石研究五集,005.蒋介石与张学良之三.txt,005.蒋介石与张学良之三,越顺口的传言越要慢查,马君武诗和胡蝶传闻流传很广，却被李敖指出是造谣。人生里越是朗朗上口、众人传诵的故事，越容易被误当成事实；传播力不能替代真实性，越顺口越要慢下来查来源。,谣言;查证;传播
JJSYJWJ021,蒋介石研究五集,005.蒋介石与张学良之三.txt,005.蒋介石与张学良之三,迟到证词仍有还原力量,何世礼多年后说明九一八夜张学良行踪，成为正式澄清的重要证词。人生里真相有时来得很晚，但迟到不等于无用；只要证词来自现场、能与材料相合，就仍能替被误解的人开一扇窗。,证词;现场;真相
JJSYJWJ022,蒋介石研究五集,005.蒋介石与张学良之三.txt,005.蒋介石与张学良之三,沉默不一定是默认,张学良长期不为自己辩解，并不表示指控成立，而是处在无法公开自白的环境里。人生里不要把别人的沉默轻易理解成默认；有些沉默，是被权力、处境和代价压出来的。,沉默;处境;理解
JJSYJWJ023,蒋介石研究五集,006.蒋介石笔下的孙铭九.txt,006.蒋介石笔下的孙铭九,自述最会把狼狈写成威武,本章对照蒋介石自述和孙铭九回忆，发现同一场景在自述中变得威武不屈。人生里读一个人的自我说明，要留出折扣；人最容易把尴尬修成气节，把狼狈改写成风度。,自述;修饰;真实
