id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LXX001,李敖写的信,005.碧潭归隐答CS.txt,碧潭归隐答CS,允许别人自行其是,他一面选择清静生活，一面承认朋友们各有恋爱、婚姻和持家的生活方法。成熟不是把自己的路宣布成唯一正路，而是明白人各有志，各有思想模式；能自行其是，也能让别人自行其是，关系才不会被好意变成强迫。,差异;尊重;生活方式
LXX002,李敖写的信,006.给胡适的一封信.txt,给胡适的一封信,整理人生要看演变,李敖建议胡适全集采用编年方式，因为编年最能看出学问、思想和兴趣的变化痕迹。整理一个人或一件事，不只要分门别类，更要看它怎样一步步变成今天的样子；看见演变，才看得见选择、代价和真正的成长。,整理;思想演变;成长
LXX003,李敖写的信,006.给胡适的一封信.txt,给胡适的一封信,旧文有问题，也别替它化妆,他主张全集中有问题的文章不必忌讳，也不必改动。一个人面对过去的文字、决定和错误，最要紧的不是把它修成毫无瑕疵的纪念照，而是让它如实留下，再用说明和考订交代来龙去脉；诚实比粉饰更能保护一个人的整体生命。,诚实;记录;自省
LXX004,李敖写的信,008.对国家长期发展科学委员会的一个批评.txt,对国家长期发展科学委员会的一个批评,要求专任，就要给人生计,李敖批评机构要求助理专任不兼差，却迟迟不发本薪，逼人典当衣物。任何组织要求忠诚、投入和全职，都必须先给出让人活得下去的条件；只谈使命不管饭碗，制度就会把理想变成对人的消耗。,制度;生计;组织
LXX005,李敖写的信,009.回YS.txt,回YS,用比例压住概括焦虑,他承认自己原先对旧学复活的忧虑有失概括，后来用统计观念和比例观念重新估量，发现许多现象没有想象中那么大。判断世界时，情绪会把局部放大成全部；能问比例、范围和真实数量，才不至于把焦虑误认成洞见。,判断;比例;自我修正
LXX006,李敖写的信,015.给赵元任的一封白话信.txt,给赵元任的一封白话信,向忙人求助，问题要列清楚,给赵元任写信时，李敖先说免去客套，直接一二三四列明请求，照片、材料和关键问题都各归各位。向忙人求资料或求协助，最忌把热情写成一团雾；问题越清楚，对方越容易判断能不能帮，也越看得见你的认真。,沟通;求助;效率
LXX007,李敖写的信,018.斥佞佛参禅.txt,斥佞佛参禅,逃到山里前，先处理心里的杂念,李敖骂青年朋友盲求解脱，并借古诗说明世事尘劳若还挂碍，深山静坐也徒然。换地方、换姿势、换一套玄妙名词，都不能自动解决内心的混乱；人要找安顿，先要诚实处理自己的欲望、恐惧和未完成的现实。,清醒;逃避;内心
LXX008,李敖写的信,020.论做保致彦年夫妇.txt,论做保致彦年夫妇,小保证照出大信任,为了办手续找保证人，李敖感叹人与人互不相信，却又硬要人保人，使保人与被保者都苦恼。人生中许多看似小手续，其实反映一套社会信任结构；规则若建立在普遍不信任上，就会把普通人的善意也拖进风险。,信任;制度;社会观察
LXX009,李敖写的信,022.给傅乐成的两封信.txt,给傅乐成的两封信,舆论催化也算行动,李敖半开玩笑地说自己攻击高等教育的文章，对研究所扶正和台大改善态度多少有催化作用。做事不只有直接掌权一种方式，公开指出问题、形成压力、让当事人不得不买账，也是一种行动；蜡烛虽小，也能使黑暗里的人看见方向。,舆论;行动;影响
LXX010,李敖写的信,030.退稿费事致夏晓华.txt,退稿费事致夏晓华,多给的钱不该照收,李敖说明自己第二个月只写了二十四天，稿费给多了，便收下一千五百元、退回五百元。钱一到手就变成自己的，是最容易发生的自欺；一个人真正的清白，往往就体现在明明可以不声张时，仍把不该拿的部分退回去。,清白;金钱;分寸
LXX011,李敖写的信,035.为邮局非法查扣“李敖通知”致这份通知副本收件人的信.txt,为邮局非法查扣“李敖通知”致这份通知副本收件人的信,别人失信，自己仍要守信,文件被邮局查扣后，李敖说邮局可以没有信用，自己却不可没有信用，于是重打重寄，并改用挂号。遇到不可靠的环境，最好的反应不是跟着烂掉，而是守住自己的信用，同时把流程改得更可追踪；吃亏以后要学乖，不是学坏。,信用;证据;处事
LXX012,李敖写的信,039.搜罗侦探小说等寄陈绍鹏.txt,搜罗侦探小说等寄陈绍鹏,长期写作要有全套计划,李敖说自己此生恐将以写作终古，所以写作计划不可不全套。真正长期的事业不能只靠灵感来一阵子，而要把题材、材料、时间和系列安排成系统；当人生方向很长，计划就是抵抗零碎消耗的方法。,写作;长期主义;计划
LXX013,李敖写的信,040.论留学生立场复金戴熹.txt,论留学生立场复金戴熹,远方关心要有泥土气,李敖批评海外学人办杂志太脱节，缺少能与国内知识人声应气求的泥土气。关心一个地方，不能只站在远处凭热情施予或指导；真正有效的帮助，要贴近现场语言、限制和痛苦，否则见识越高，越可能变成隔膜的自信。,现实感;知识人;沟通
LXX014,李敖写的信,049.给M（彭明敏）之一.txt,给M（彭明敏）之一,自由不会等独裁自动失败,李敖提醒彭明敏，不要把论述写成独裁必败的预言；在统制技术进步下，全体主义并非绝不可能成功，自由人必须刻意努力。人生中对坏事的判断也是如此，不能因为它邪恶就相信它会自毁；真正的希望来自行动，不来自替正义许愿。,自由;行动;清醒
LXX015,李敖写的信,054.论文化基金寄汤元吉.txt,论文化基金寄汤元吉,方向错时，章程越细越误导,研究文化基金文件后，李敖说若基本运用方式和方向不对，详尽章程反而会变成误导工具。做任何事业，不能急着把细则写漂亮；先问方向对不对、要解决什么问题、资源用在哪里，否则规则越精密，偏差越稳定。,方向;制度设计;决策
