id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
FTL001,李敖访谈录1990-2018,001.19850412《民主天地周刊》专访李敖.txt,19850412《民主天地周刊》专访李敖,评价人要先看他的规格,评价一个人以前，先要看他把自己放在哪一种规格里。思想家、政治家、组织者、写作者，各有不同的目标和责任；用错标准，就会把优点看成缺点，也会把缺点误当作本事。人生判断最怕拿别人的赛道要求自己，或拿自己的想象裁判别人，先辨清规格，才谈得上公平。,判断;标准;自我定位
FTL002,李敖访谈录1990-2018,001.19850412《民主天地周刊》专访李敖.txt,19850412《民主天地周刊》专访李敖,帮人也要保留生命边界,善意不是把自己交给所有求助者消耗。一个人愿意帮忙，仍要记得时间、精力和生命都有边界；没有边界的帮助，最后会把自己的工作和判断力挖空。真正可持续的仁义，是在能长期站住的范围内出手，而不是把人生切碎成无数人的临时需求。,助人;边界;时间
FTL003,李敖访谈录1990-2018,001.19850412《民主天地周刊》专访李敖.txt,19850412《民主天地周刊》专访李敖,整理传播也是思想贡献,不是每个时代都需要人人发明新思想，许多时候更缺的是把既有思想重新综合、辨析和传递的人。能把散落的见解归纳成清楚的路径，能让别人看见传统与现实之间的关系，也是一种重要贡献。人生不必只用原创神话要求自己，会整理、会转化、会传播，同样能推动世界。,思想;整理;贡献
FTL004,李敖访谈录1990-2018,002.19901120戴小华专访李敖.txt,19901120戴小华专访李敖,明知终点失败仍要努力,人生终究会走向死亡，从这个意义看，每个人都注定失败；但失败的终点并不能取消过程中的努力。知道结局仍然工作、仍然坚持、仍然把该做的事做完，才是人真正的尊严。清醒不是泄气的理由，清醒反而让有限生命里的行动更有重量。,生命;努力;死亡
FTL005,李敖访谈录1990-2018,003.19960415《远见》专访李敖.txt,19960415《远见》专访李敖,不靠掌声生活才有独立,人若习惯靠群众的掌声确认自己，就很难在无人喝彩时坚持判断。独立精神的起点，是能从人群中退出来，仍然知道自己为什么做、做给什么标准看。掌声可以接受，但不能当罗盘；一旦把掌声当方向，人生就会被最响的声音牵着走。,独立;群众;自我确认
FTL006,李敖访谈录1990-2018,003.19960415《远见》专访李敖.txt,19960415《远见》专访李敖,寂寞不要押在变数上,用另一个人来填满寂寞，本质上是把安定押在变数上。别人会离开、会改变、会有自己的命运，所以真正可靠的安顿，必须有自己的秩序、兴趣和生活结构。关系能增加快乐，却不该成为唯一支柱；支柱太单一，失去时就会整座房子倒下来。,孤独;关系;自立
FTL007,李敖访谈录1990-2018,004.1997李敖养生之道——打官司.txt,1997李敖养生之道——打官司,老化只能维护不能否认,衰老不是靠口号就能消灭的敌人，最多只能靠节制、规律和保养去延缓损耗。看清这一点，人就不会把精力浪费在假装年轻上，而会更现实地分配身体资源。承认老化，不是认输；是把有限的体力用在还值得做的事情上。,健康;衰老;节制
FTL008,李敖访谈录1990-2018,005.1998《新新闻周报》李敖专题.txt,1998《新新闻周报》李敖专题,书是拿来使用的,书的价值不在摆满书架，而在被调动、被印证、被用来解决问题。做藏书家容易沉迷拥有，做用书家才会把知识变成工具；一本书哪怕不好，也可能提供反面教材、材料线索或判断训练。读书最怕只增加资产感，不增加行动力。,读书;知识;使用
FTL009,李敖访谈录1990-2018,018.20000809《北京青年报》专访李敖.txt,20000809《北京青年报》专访李敖,有些胜利在过程里完成,并非所有战斗都只看最后判决或终局结果。有些事的意义，在于逼出证据、揭开程序、让对方付出说明成本，也让旁观者看见问题。若只用最后一纸输赢衡量，就会错过过程里已经取得的空间；成熟的行动者要懂得辨认过程中的胜利。,斗争;过程;胜负
FTL010,李敖访谈录1990-2018,020.2000-2001《上海青年报》专访李敖.txt,2000-2001《上海青年报》专访李敖,朋友不要拿来压力测试,朋友关系最怕被故意考验，因为考验本身常常会制造裂缝。人当然可能不可靠，但把关系放进试炼机里反复挤压，往往不是证明友情，而是亲手把朋友变成敌人。成熟的相处，是看清人性的限度后安排边界，不是用测试满足自己的不安。,朋友;信任;边界
FTL011,李敖访谈录1990-2018,020.2000-2001《上海青年报》专访李敖.txt,2000-2001《上海青年报》专访李敖,爱情要承认变量,把爱情想成永恒契约，常会让人受困于幻觉；把它看成会变化的关系，反而更容易珍惜当下，也更容易在变化来临时保住自己。承认变量不是冷酷，而是承认人心、处境和时间都会移动。懂得这一点，爱情少一点神话，多一点清醒。,爱情;变化;清醒
FTL012,李敖访谈录1990-2018,021.20010423《亚洲周刊》专访李敖.txt,20010423《亚洲周刊》专访李敖,创作要扬自己媒介的长处,文字不必和电影争画面，也不必用别的媒介的标准来证明自己。每种表达形式都有长处和短处，聪明的创作者会把自己的媒介优势推到极致，让读者在想象、知性和节奏里获得别处没有的东西。做人做事也一样，先知道自己凭什么赢。,写作;媒介;优势
FTL013,李敖访谈录1990-2018,021.20010423《亚洲周刊》专访李敖.txt,20010423《亚洲周刊》专访李敖,自律是为了延长可用生命,节制饮食、规律作息和长期工作，若只是为了好看，动力很容易耗尽；若明白自律是在延长自己还能思考、写作和行动的时间，约束就有了更硬的理由。身体不是道德摆设，而是人生事业的工具。爱惜工具，是为了把能量用到最后。,自律;健康;工作
FTL014,李敖访谈录1990-2018,021.20010423《亚洲周刊》专访李敖.txt,20010423《亚洲周刊》专访李敖,创作素材来自三重合成,好的作品往往不是单靠亲身经历，也不是纯靠幻想，而是经验、想象和阅读共同合成。经验给真实感，想象给自由度，阅读给深度和形状；三者缺一，作品就容易扁。人生理解也如此，只有亲历会狭窄，只有书本会浮，只有幻想会空。,创作;经验;阅读
FTL015,李敖访谈录1990-2018,021.20010423《亚洲周刊》专访李敖.txt,20010423《亚洲周刊》专访李敖,看书先查前提,读一本书以前，先看它把什么结论偷偷放进了前提。很多论证看似严密，其实开头就设好了圈套；一旦接受它的问题格式，后面只能在它规定的范围里打转。读书和处世都要有这种警觉：先问前提是否成立，再决定要不要继续陪它推论。,读书;逻辑;前提
FTL016,李敖访谈录1990-2018,021.20010423《亚洲周刊》专访李敖.txt,20010423《亚洲周刊》专访李敖,自由也常从身体禁区松动,许多制度和观念的松动，不一定先发生在宏大口号里，也可能先从身体、欲望和私人生活的禁区开始。人若看不见身体自由和精神自由之间的关系，就容易把自由讲得很抽象。真正的解放，常常要落到人能不能诚实面对自己的身体和欲望。,自由;身体;观念
FTL017,李敖访谈录1990-2018,022.20010604《新华网》专访李敖.txt,20010604《新华网》专访李敖,温和态度不等于软掉原则,一个人可以在态度上友好、亲切、有温情，同时在是非上绝不松动。温和若变成原则模糊，就是讨好；严厉若没有基本温度，也容易变成伤人。更难也更好的状态，是日常相处有礼，遇到真理和原则时却不把温情拿来抵押。,原则;温情;是非
FTL018,李敖访谈录1990-2018,022.20010604《新华网》专访李敖.txt,20010604《新华网》专访李敖,修养要在现场练,真正的修养不是关起门来反复劝自己，而是在真实冲突和真实诱惑中练出来。日记式自省若只让人绕着失去的东西打转，反而会加深执念；把人放回现场，换方法、找替代、做事情，情绪才会被行动重新组织。战场上练出的定力，才经得起枪声。,修养;实践;行动
FTL019,李敖访谈录1990-2018,022.20010604《新华网》专访李敖.txt,20010604《新华网》专访李敖,以写带读才能转化藏书,读过的书若永远只停在书架和笔记里，知识就没有真正完成。以写带读，是在写作需要中重新翻检、筛选和融合旧材料，让过去的积累变成今天的表达。知识的生命不在存放，而在转化；能把旧书重新挖出来用，才算真正读过。,读书;写作;转化
