id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LAYJJ001,李敖演讲集,001.19601027军队演讲.txt,19601027军队演讲,荣誉是诚实结出来的果,李敖把诚实看作因和手段，荣誉是果和目的。人生想要名声、排名或认可，不能绕过诚实这个入口；用作弊、逢迎或包装换来的第一名，只是没有根的荣誉，早晚会被事实拆穿。,诚实;荣誉;根基
LAYJJ002,李敖演讲集,001.19601027军队演讲.txt,19601027军队演讲,口号要落到练习里,他用喊口令比喻诚实荣誉，讲再多不如多练习、多实行。人生的品德和能力都不是靠表态长出来的；每天把一个动作练准、把一件小事做实，比反复宣示高贵口号更可靠。,实践;品德;训练
LAYJJ003,李敖演讲集,002.19601030军队演讲.txt,19601030军队演讲,判断人物要回到可靠来源,关公故事里的戏曲和小说很热闹，但不等于真实历史。人生看人看事，不能只凭流行版本和动人传说；越是人人熟悉的故事，越要回到可靠来源，问它最早怎么被记录、后来又被谁加工。,史料;判断;来源
LAYJJ004,李敖演讲集,002.19601030军队演讲.txt,19601030军队演讲,名声膨胀不等于真相变大,关公死后名气越传越大，甚至成了民间圣人。人生不要用声量反推真实分量；一个人被崇拜得越久，越可能混进后人的需要、想象和造神，清醒的人要分开事实和名声。,名声;真相;清醒
LAYJJ005,李敖演讲集,002.19601030军队演讲.txt,19601030军队演讲,个人英雄也要看大局后果,李敖指出关公骄傲破坏吴蜀联盟，死得壮烈却牵动大局失败。人生评价勇敢，不能只看姿态漂亮；若个人气概让组织、家庭或事业付出更大代价，那份英雄气也要被放回全局中重新衡量。,大局;英雄;后果
LAYJJ006,李敖演讲集,002.19601030军队演讲.txt,19601030军队演讲,记录者会影响你的身后处境,李敖玩笑说历史家能让人流芳或遗臭，说明记录者的笔有后效。人生不要轻看档案、文字和讲述者；你今天怎样留下事实，决定明天别人怎样理解你，也决定谣言有没有空间。,记录;名誉;后效
LAYJJ007,李敖演讲集,003.19890414李敖来台40周年演讲.txt,19890414李敖来台40周年演讲,是非太清楚会难相处，但不能因此装糊涂,施性忠说李敖难相处，是因为是非分太明；社会反而让不清不楚的人容易生存。人生若把是非看得清，确实会少一些圆滑便利，但为了好相处而故意糊涂，最后会把判断力也赔进去。,是非;判断;处世
LAYJJ008,李敖演讲集,003.19890414李敖来台40周年演讲.txt,19890414李敖来台40周年演讲,第一次被挡住，不代表以后不能开场,李敖回忆早年讲演受打击、教室被锁，四十年后仍站上公开讲台。人生表达被封锁时，不必把一次受阻当终局；只要声音还在、材料还在，迟到的讲台也可能变成更有分量的开场。,表达;封锁;坚持
LAYJJ009,李敖演讲集,003.19890414李敖来台40周年演讲.txt,19890414李敖来台40周年演讲,看群体迁徙要分层看动机,李敖把来台者分成逃命、被迫、恐惧和家庭等多种原因，避免一句话解释所有人。人生理解复杂人群，不能用单一标签扫过去；同一场迁徙、同一个选择，背后可能有权力、恐惧、被迫和亲情多层原因。,复杂性;动机;历史
LAYJJ010,李敖演讲集,003.19890414李敖来台40周年演讲.txt,19890414李敖来台40周年演讲,冷静的第一步是不轻易被任何一边骗,他回答“怎么办”时说至少不要轻易受共产党、国民党、民进党骗，先保持冷静和拒绝。人生处在多方叙事夹击中，最基本的自由是暂停点头；先不被任何一套话术牵走，才可能慢慢找出自己的判断。,冷静;防骗;独立
