"id","book","source_file","source_chapter","wisdom_title","wisdom_text","theme_tags"
"WN001","《我最难忘的事和人》","《我最难忘的事和人》自序.txt","自序","记忆要成为远景","回忆不是把人拖回旧日泥淖，而是把走过的路摆到足够远的位置上观看。一个人若能把旧事写成远景，伤痕就不只属于个人，也能变成后来者辨认时代、辨认人心的路标。","记忆;写作;历史"
"WN002","《我最难忘的事和人》","《我最难忘的事和人》自序.txt","自序","人和事不能硬拆","人生里的事件从来不是孤立发生的，事里有人，人又被事塑形。看历史或看自己，都不宜只抽出一个人物作道德评判，也不宜只谈制度而忘了具体生命；真正的理解常在二者交缠处。","人生观;历史观;人物"
"WN003","《我最难忘的事和人》","《我最难忘的事和人》自序.txt","自序","解禁不等于解毒","政治上的松绑只是开始，不代表社会心理、文化趣味和判断能力已经洗净。真正的自由还要继续清除恐惧、媚俗和犬儒，否则旧制度虽退场，旧习气仍会换一种面目留下来。","自由;政治;判断"
"WN004","《我最难忘的事和人》","001.我最难忘的一件木雕.txt","我最难忘的一件木雕","读书要变成产出","读书若只停在自我享受，容易成为一种精致的消耗；读书若能转化为写作、行动和判断，才真正进入生命。知识最好的归宿不是收藏在脑中，而是被用于照亮别人也照亮时代。","读书;写作;行动"
"WN005","《我最难忘的事和人》","001.我最难忘的一件木雕.txt","我最难忘的一件木雕","热闹背后看见伤口","民俗表演可以被游客当作热闹，也可以被有历史感的人看成民族创伤的余波。人生的眼光就在这里分岔：只看表面的人消费快乐，看见来路的人在快乐中仍能听出被征服者的哀声。","同情;历史;观察"
"WN006","《我最难忘的事和人》","001.我最难忘的一件木雕.txt","我最难忘的一件木雕","纯真需要知识保护","自然、活泼和质朴值得珍惜，但如果没有知识与组织力量，纯真也会变成任人摆布的软肋。弱者不能只靠天真感动世界，还要靠学习、记忆和制度感保护自己的尊严。","知识;弱者;尊严"
"WN007","《我最难忘的事和人》","001.我最难忘的一件木雕.txt","我最难忘的一件木雕","小物件保存大历史","一件木雕之所以难忘，不在价格，而在它替一个逐渐消失的世界留下证词。人有时需要把宏大的历史寄存在一个小物件里，因为可触摸的东西最能提醒我们：抽象苦难曾属于活生生的人。","记忆;物件;历史"
"WN008","《我最难忘的事和人》","002.我最难忘的一场演讲.txt","我最难忘的一场演讲","细节能修复错过","一个被怠慢的邀请，可能因后来者的认真、周到和礼貌重新打开。人与人之间的关系常不靠宏大的解释修补，而靠一个具体细节让对方知道：这次你是被郑重对待的。","礼貌;人际;责任"
"WN009","《我最难忘的事和人》","002.我最难忘的一场演讲.txt","我最难忘的一场演讲","偶然需要历史感","同名、同姓、同场景若只当作巧合，很快就过去了；若放进历史的长河，偶然便有了层次。会思想的人能在一次普通见面中看见时代重影，让眼前人和过去事彼此照亮。","历史感;观察;联想"
"WN010","《我最难忘的事和人》","002.我最难忘的一场演讲.txt","我最难忘的一场演讲","青年要打断循环","循环的路让人不迷路，循环的历史却会让人一代代受苦。真正值得寄望的青年，不是被动继承上一代的仇恨与恐惧，而是让旧日痛苦不再按原路线重演。","青年;历史;自由"
"WN011","《我最难忘的事和人》","002.我最难忘的一场演讲.txt","我最难忘的一场演讲","现实和历史可同席","一次演讲既是现实中的校园访问，也可以是与历史幽灵的对话。人生的厚度来自这种双重意识：人在当下做事，同时知道脚下站着许多未竟的故事。","现实;历史;人生厚度"
"WN012","《我最难忘的事和人》","003.我最难忘的一片小湖.txt","我最难忘的一片小湖","大时间化解小政治","政治纷争会让人觉得天塌地陷，但放到地质和宇宙的尺度里，它又显得狭小。不是要因此逃避现实，而是要学会用更大的时间感安顿心灵，不让眼前权势垄断全部情绪。","时间观;政治;心境"
"WN013","《我最难忘的事和人》","003.我最难忘的一片小湖.txt","我最难忘的一片小湖","景物深浅在于心","同一片湖，有人只看见水，有人看见地图、地层、政权和宇宙。世界并不自动深刻，深刻来自观看者调动知识和感受的能力；心有多宽，风景就能展开多远。","观察;知识;审美"
"WN014","《我最难忘的事和人》","003.我最难忘的一片小湖.txt","我最难忘的一片小湖","向白鹅学习自在","湖上的白鹅不需要口号，也不需要占有，只以自己的节奏生活。人若总被名分、权力和意识形态牵引，就会忘记生命还有一种朴素的从容：活着本身也可以很充分。","自在;生命;从容"
"WN015","《我最难忘的事和人》","003.我最难忘的一片小湖.txt","我最难忘的一片小湖","把符号还给观照","地名和形状可以被政治意义占领，但人的心灵不必永远被这些符号扣押。面对被命名的景物，最高明的做法不是再添一层占有，而是把它还给观察、想象和自由。","符号;自由;观照"
"WN016","《我最难忘的事和人》","004.我最难忘的一套条例.txt","我最难忘的一套条例","恶法死了伤口还在","一套恶法被废止，是制度层面的迟来告别，却不是受害者生命损失的自动补偿。评价历史时，不能只记录废法那一天，也要记住它存活的几十年里吞掉了多少青春、名誉和性命。","恶法;正义;记忆"
"WN017","《我最难忘的事和人》","004.我最难忘的一套条例.txt","我最难忘的一套条例","别把象征当自由","统治者废掉一个最刺眼的工具，并不表示权力已经放下控制欲；旧武器不用了，还可能换新武器。判断改革要看人民实际拥有多少权利，而不是看权力表演了多少姿态。","政治判断;自由;制度"
