id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
NBDDSFHA001,你不知道的司法黑暗,001.为司法黑暗发榜.txt,为司法黑暗发榜,点名不是粗鲁，是让责任长出脸,李敖坚持把失职法官和司法官员点名列出，因为只骂“法院”会让具体责任人在机构后面消失。人生里批评一个系统时，若永远停在抽象名词，责任就会被平均稀释；把做决定的人、写判决的人、签文件的人标出来，才可能形成真正压力。,点名;责任;监督
NBDDSFHA002,你不知道的司法黑暗,001.为司法黑暗发榜.txt,为司法黑暗发榜,很多人经手，不等于有人认真看过,翁媳命案和华定国案里，李敖列出一长串过手法官，却指出判决只是抄来抄去、换汤不换药。人生里不要被“多人审过”“层层把关”这种表面放心术安慰；真正要问的是每一层有没有重新看证据、有没有提出新理由、有没有敢于纠错。,复核;责任;形式主义
NBDDSFHA003,你不知道的司法黑暗,001.为司法黑暗发榜.txt,为司法黑暗发榜,凶器名称反复变，故事就可能在被编,在翁媳命案的概述中，凶器从钝器、刀器、刀类到不明钝器不断摇摆，李敖用这种变动暴露判决叙事的不可靠。人生里一个故事若在关键物件上不断换名，就要警觉它不是记忆模糊，而可能是在为了结论临时补材料。,叙事;矛盾;证据
NBDDSFHA004,你不知道的司法黑暗,002.钟曜唐——这样的法官配做院长吗？.txt,钟曜唐——这样的法官配做院长吗,事后一起逛街，可能比口供更说明心态,吕安仁案中，李敖从涉案者事后并未逃散、还一起逛街，判断他们主观上并未把事情当成杀人。人生里理解一个人的意图，不能只听事后被整理过的说法；行为后的自然反应，往往更接近当时心态。,心态;行为;判断
NBDDSFHA005,你不知道的司法黑暗,002.钟曜唐——这样的法官配做院长吗？.txt,钟曜唐——这样的法官配做院长吗,一个人反复说只有自己动手，就不能硬凑共犯,李敖列出林金生多次供称只有自己动手，用来反驳判决把多人凑成共同犯意。人生里判断责任人数，不能因为结论需要热闹就把旁人拉进来；若核心行为人持续、稳定地说清边界，外人就不该被想象补成共犯。,责任边界;共犯;证据
NBDDSFHA006,你不知道的司法黑暗,003.为翁媳命案抱不平.txt,为翁媳命案抱不平,案子拖得越久，越不能把苦难当背景,张国杰案八年羁押、脚镣成了身体一部分，李敖先写人的年岁、看守所的更替和生活折磨，再谈判决。人生里制度错误最容易被案号遮住，但被拖住的人在真实变老、受苦、失去生活；谈公道时，不能只看卷宗，也要看时间怎样惩罚人。,时间;苦难;公道
NBDDSFHA007,你不知道的司法黑暗,003.为翁媳命案抱不平.txt,为翁媳命案抱不平,九次否认和一次承认，要先解释为什么只信一次,面对张国杰前后十次讯问，李敖追问为什么九次否认不采，独采一次承认。人生里判断证词，不能只挑最方便的一次；若多数说法指向一边，少数例外指向另一边，先要解释例外怎样产生，而不是把例外当真相捷径。,口供;取舍;证据
NBDDSFHA008,你不知道的司法黑暗,003.为翁媳命案抱不平.txt,为翁媳命案抱不平,越重的结论，越需要外部支柱,李敖从凶器不明、动机牵强、证据互斥等处，反推所谓自白不应独撑死刑。人生里一个故事若缺少外部支架，却要求你只信一个被压力制造出来的说法，那正是最该停下来的时候；结论越重，越不能只靠单根柱子撑住。,证据;物证;审慎
NBDDSFHA009,你不知道的司法黑暗,004.从华定国冤狱到吕德冤狱.txt,从华定国冤狱到吕德冤狱,弱者的粗粝文字，也可能是第一手真相,李敖说吕德等人没有什么程度，但文字质朴、有草地味，是第一流的血泪文学。人生里不要因为表达粗糙就轻看材料；许多重要真相不是用漂亮文体出现，而是带着恐惧、错字和笨拙，把被压住的现实递到你手上。,真相;弱者;材料
NBDDSFHA010,你不知道的司法黑暗,004.从华定国冤狱到吕德冤狱.txt,从华定国冤狱到吕德冤狱,一人背上太多悬案，先怀疑的是办案方便,李敖把吕德案称为“同案堆罪”，警觉刑警把未破的同类案件集中堆到一个人头上。人生里一个人突然被要求解释太多相似错误时，要先问这是否只是替系统清库存；过于方便的归罪，常常方便的不是事实，而是办事的人。,归罪;悬案;便利
